source_text,translation,direction,rating,correction,error_type,model_used,refined,domain,score_mng,score_grm,score_tns,score_vcb,score_ort,score_ctx,score_flu,score_cul,sqs,timestamp,ip
animals and people,ebisoro n'abantu,en->lun,1,,different meaning,nllb,,,,,,,,,,,,2026-05-11T16:06:17.779987,127.0.0.1
people and animals,abantu n'ebisoro,en->lun,1,,both_models_correct,both,,,,,,,,,,,,2026-05-11T16:27:59.023811,127.0.0.1
the girl has run mad,omwasiki agwire iraro,en→lun,1,,,,,,,,,,,,,,,2026-05-08T08:39:07.155233,10.16.29.229
test,obuteekateeka,en->lun,1,,,marian,,,,,,,,,,,,2026-05-08T08:40:54.797261,10.16.42.153
where is my girl,omwasiki wange ali nkaha,en→lun,1,,,,,,,,,,,,,,,2026-05-08T09:51:21.061217,10.16.29.229
the man has ran wild,omusaija agwire obwooki,en→lun,1,,,,,,,,,,,,,,,2026-05-08T13:09:16.435980,10.16.42.153
What did the grandmother say about food,Nyinenkuru akagamba ata habwebyokuzya,en→lun,-1,Nyinenkuru akagamba ata habwebyokulya,both_models_wrong,none,,,,,,,,,,,,2026-05-08T13:11:20.950669,10.16.14.160
The car was moving so fast that it was hard for driver to control,Emetooka ekaba nayanguha kukira bwango eki kibaire kigumire hali omubimbi,en→lun,1,,,marian,,,,,,,,,,,,2026-05-08T13:24:13.595033,10.16.1.102
The car was moving so fast that it was hard for driver to control,Emetooka ekaba nayanguha kukira bwango eki kibaire kigumire hali omubimbi,en→lun,-1,Emotoka ekaba niruka munu eki kiaba kigumire omubingi wayo okukisonora,,marian,,,,,,,,,,,,2026-05-08T13:31:39.211674,10.16.1.102
Teacher can I go for short call,Omwagesa nasobora kugenda kweta,en→lun,-1,Omusomesa/ omwegesa Ninsobora kugenda kataito,both_models_wrong,none,,,,,,,,,,,,2026-05-08T13:36:37.219587,10.16.42.153
Teacher can I go for short call,Omwagesa nasobora kugenda kweta,en→lun,-1,Omusomesa/ omwegesa Ninsobora kugenda kataito,"spelling, different meaning",marian,,,,,,,,,,,,2026-05-08T13:38:25.699013,10.16.14.160
Look at him he is not ok,Murole tali kurungi,en→lun,1,,,nllb,,,,,,,,,,,,2026-05-08T13:41:42.967138,10.16.1.102
Look at him he is not ok,Murole tali kurungi,en→lun,1,,,nllb,,,,,,,,,,,,2026-05-08T13:42:16.184988,10.16.14.160
How is life,Obwomezi buta,en→lun,1,,,marian,,,,,,,,,,,,2026-05-08T13:43:32.487532,10.16.29.229
"Halo, where is my money","Haro, efeza zange zizizi nkaha",en→lun,-1,,both_models_wrong,none,,,,,,,,,,,,2026-05-08T17:52:49.788169,10.16.14.160
Where are you leaving these days,Ogenda nkaha ebiro binu,en→lun,1,,,nllb,,,,,,,,,,,,2026-05-08T17:56:02.735635,10.16.42.153
Where are you living these days,Oikaire nkaha ebiro binu,en→lun,1,,,nllb,,,,,,,,,,,,2026-05-08T18:03:44.478632,10.16.14.160
animals,enyamaiswa,en->lun,-1,,different meaning,,,,,,,,,,,,,2026-05-08T18:04:21.624046,10.16.29.107
The boy is running,Omwajo nairuka,en->lun,1,,,marian,,,,,,,,,,,,2026-05-08T18:47:10.808521,10.16.29.107
The boy is running,Omwajo nairuka,en->lun,1,,,marian,,,,,,,,,,,,2026-05-08T18:48:47.961807,10.16.29.107
What is agriculture in Rutooro,ebyebulimi omu Rutooro,en->lun,1,,,nllb,,,,,,,,,,,,2026-05-08T18:54:18.000158,10.16.14.160
What is agriculture in Rutooro,ebyebulimi omu Rutooro,en->lun,-1,,other: Ebyobulimi no Buliisa mu Rutooro kintuki,nllb,,,,,,,,,,,,2026-05-08T18:55:45.592361,10.16.42.153
animals,ebisoro,en->lun,1,,different meaning,nllb,,,,,,,,,,,,2026-05-09T08:28:32.580418,10.16.42.153
Where are you going?,Ogenda nkaha?,en->lun,1,,,,False,,,,,,,,,,,2026-05-22T08:23:34.655427,10.20.32.255
Where are you going?,Ogenda nkaha?,en->lun,1,,,nllb,False,,,,,,,,,,,2026-05-22T08:24:04.318593,10.20.2.69
the goat is very big,embuzi enkazi,en->lun,1,,,,False,,,,,,,,,,,2026-05-22T12:17:46.731461,10.16.20.36
the goat is very big,embuzi enkazi,en->lun,-1,,grammar,,False,,,,,,,,,,,2026-05-22T12:18:06.771876,10.16.34.163
the cat is big,enJangu ikoto,en->lun,1,,,,False,,,,,,,,,,,2026-05-22T12:52:00.234681,10.16.25.130
the goat is big,embuzi enkazi,en->lun,1,,,,False,,,,,,,,,,,2026-05-22T17:57:02.562431,10.20.32.255
oraire otya,how are you doing,lun->en,1,,,,False,,,,,,,,,,,2026-05-22T17:59:16.433751,10.20.25.44
with a cow,n'ente,en->lun,1,n'ente,vocabulary,marian,False,,,,,,,,,,,2026-05-22T22:37:52.146653,10.16.20.36
I didn't see you at the party yesterday evening,tinkakuroraga habugenyi ijo nyenkyakara,en->lun,-1,,,,False,,3.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,56.6,2026-05-23T04:23:34.420830,10.16.20.36
I didn't see you at the party yesterday evening,tinkakuroraga habugenyi ijo nyenkyakara,en->lun,-1,Tinkurozirege hamukoro ijo rwebajyo,,,False,,,,,,,,,,,2026-05-23T04:26:18.442609,10.16.25.130
The introduction party was postponed to next month,Ekijaguzo kyokwemanyiiza bakasigirayo omwazi ogukwija,en->lun,-1,,,,False,,3.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,56.8,2026-05-23T04:31:53.405381,10.16.34.163
The introduction party was postponed to next month,Ekijaguzo kyokwemanyiiza bakasigirayo omwazi ogukwija,en->lun,-1,Omukoro gwo'kwanjura/okumanyagana ba kagwogezayo mpaka omwezi ogurukwija,spelling,,False,,,,,,,,,,,2026-05-23T04:36:43.868125,10.16.20.36
where are you going?,Ogenda nkaha?,en->lun,1,,,,False,,,,,,,,,,,2026-05-25T17:50:29.185071,10.16.20.36
