english,lunyoro,round_trip_bleu,source
Both of them are my friends.,Abo bombi banywani bange,0.2665,back_translation
that one over there (cl.4),one over there (cr.,0.6065,back_translation
Good morning,Oraire ota,1.0,back_translation
it is this fruits/cl.6 (near),linu zirimu/cr.6 (near),0.6156,back_translation
only he/she,uwe wenka,0.5946,back_translation
that one over there (cl.15),one over there (cr. 15),0.6319,back_translation
let they go,baleka kugenda,0.2752,back_translation
it is that animal/cl.9 (far),niyo ekisoro/cr.9,0.4087,back_translation
that things/cl.8 (already mentioned),ebintu ebi/cr.8 (jaakuzindukire),0.4418,back_translation
let they dance,leka bazina,0.2752,back_translation
that one over there (cl.9),one over there (cr,0.4824,back_translation
here is the small thing/cl.12,hanu niyo kintu kitaito/cr.12,0.3433,back_translation
that animal/cl.9 (far),eki/cr.9,0.3005,back_translation
that one over there (cl.8),one over there (cr.,0.6065,back_translation
it is that animals/cl.10 (far),nyowe ebisoro/cr.10,0.3472,back_translation
let we ask,ka tuleke tukaguza,0.3467,back_translation
let they look,baleka kurora,0.2752,back_translation
three by three,nka isatu,0.3033,back_translation
it is a cow,niyo ente,1.0,back_translation
This person is my friend.,Omuntu onu munywani wange,0.3875,back_translation
this animal/cl.9 (near),kinu kisoro/cr.9 (near),0.6606,back_translation
it is water,niyo amaizi,1.0,back_translation
Let us pray.,Leka tusabe,0.7165,back_translation
We are people.,Itwe tuli bantu,0.3195,back_translation
The person who is going is my friend.,Omuntu arukugenda nuwe munywani wange,0.8825,back_translation
there we is,haroho itwe,0.3467,back_translation
our father,isitwe,0.3679,back_translation
the animal that is going,ekisoro ekirukugenda,0.3156,back_translation
here is the trees/cl.4,hanu emiti/cr.4,0.5578,back_translation
that small thing/cl.12 (far),ekintu eki ky'ensaano/cr.12,0.2824,back_translation
that people/cl.2 (already mentioned),abantu aba/cr.2 (jaagika),0.4344,back_translation
I am a teacher.,Nyowe ndi mwegesa,0.7788,back_translation
their grandfather,isenkurubo,0.5,back_translation
here is the thing/cl.7,hanu ekintu/cr.7,0.2665,back_translation
it is a child,n'omwana muto,0.3943,back_translation
Let them dance.,Leka bazine,0.3943,back_translation
it is food,nibyo byokurya,0.2752,back_translation
this trees/cl.4 (near),emiti enu/cr.4 (near),0.726,back_translation
my grandfather,isenkuru nyowe,0.5,back_translation
the work of eating,omulimo gw'okurya,0.3943,back_translation
one who sees,murozi,0.3976,back_translation
It is water.,Niyo maizi,0.7165,back_translation
let I speak,ka nyikirize ngamba,0.3467,back_translation
that one over there (cl.5),one over there (cr.5),0.8825,back_translation
this fruits/cl.6 (near),binu ebirimwa/cr.6 (near),0.6389,back_translation
let him/her go,leka agende,0.3234,back_translation
My father is a good man.,Taata wange aba muhikirire,0.8465,back_translation
your father,ise,0.3679,back_translation
Your mother is cooking.,Nyinawe nacumba,0.4631,back_translation
it is this rope/cl.11 (near),ngunu mugule/cr.11 (near),0.5813,back_translation
here is the things/cl.8,hanu ebintu/cr.8,0.5411,back_translation
that thing/cl.7 (far),ekintu eki/cr.7,0.3082,back_translation
all of you (pl),inywena,0.3679,back_translation
this animals/cl.10 (near),binu ebisoro/cr.10 (near),0.7598,back_translation
Let him speak.,Leka agambire,0.7165,back_translation
the work of panting,omulimo gw'okweyongera,0.3943,back_translation
the work of diging,omulimo gw'okulima,0.3943,back_translation
I alone went to the market.,Nyowe nkagenda nyenka mukatale,0.4548,back_translation
let we read,ka tuleke tusoma,0.3467,back_translation
Let us go.,Tugende,0.7165,back_translation
their grandmother,nyinenkurubo,1.0,back_translation
They came two by two.,Bakaizire babiri,0.3606,back_translation
Let me eat.,Leka ndirye,0.7165,back_translation
let them go,leka bagende,1.0,back_translation
it is this animals/cl.10 (near),binu ebisoro/cr.10 (near),0.6875,back_translation
this one here (cl.11),onu hanu (cr. 11),0.7165,back_translation
it is a dog,niyo embwa,1.0,back_translation
the work of building,omulimo gwokwombeka,0.2601,back_translation
My father went to the market.,Taata wange akagenda mukataale,0.8465,back_translation
They dig like this,Balima bati,1.0,back_translation
this thing/cl.7 (near),kinu/cr.7 (near),0.3051,back_translation
Their father is coming.,Isebo naija,0.7788,back_translation
that thing/cl.7 (already mentioned),ekintu eki/cr.7,0.2609,back_translation
the person who is going,omuntu arukugenda,1.0,back_translation
The cultivator works hard.,Omulimi akora namaani,0.2753,back_translation
our grandfather,isenkuru itwe,0.5,back_translation
it is that things/cl.8 (far),ebintu/cr.8 (far,0.4569,back_translation
it is a tree,n'omuti,0.3943,back_translation
It is a cow.,Kiri ente,0.6687,back_translation
your mother,nyina,0.3679,back_translation
it is this animal/cl.9 (near),kinu kisoro/cr.9 (near),0.6156,back_translation
It is a person.,Kiba muntu,0.7788,back_translation
I am fine.,Ndi kurungi,0.3943,back_translation
How are you?,Oragirwe ota?,0.4273,back_translation
The carpenter made a chair.,Omubaizi akakora entebe y'ebisiika,0.5475,back_translation
the people who are going,abantu abarukugenda,0.5081,back_translation
let they read,ka baaleka kusoma,0.2752,back_translation
My father alone knows.,Isenyowe amanyire wenka,0.7788,back_translation
that one over there (cl.10),one over there (cr.10,0.8825,back_translation
