english,lunyoro,round_trip_bleu,source
"And even when you are born, doesn't it teach you that if a man has a sharp sickle, he will be ashamed of him?","Kandi nokuzarwa kwonka tikurukubegesa ngu omusaija obwaba anyina isoke eriraihire, kiba kyensoni haruwe?",0.4935,back_translation
"For I tell you, anyone who sins against his brother will be put to death; and whoever says to his brother, ‘Fellow down and let me go,’ must be thrown into the fire of hell.","baitu nyowe nimbagagambira nti Omuntu wena anyakubihi'rwa mwene wabu, aligwe'rwa omusango; nauwe anyakugambira mwene wena ati Mugwagwa, buli amalize kunagwa omu Gehena eyomu'ro.",0.6691,back_translation
Then Jesus took him aside and showed him all the kingdoms of the world in a little while.,"Kandi yamutembya, yamwoleka obukama bwona obwomu nsi zona omu kike.",1.0,back_translation
"So then, a man will leave his father and mother and unite with his wife.",Nikyo omusaija alirekera ise na nyina nagumira ha mukaziwe;,1.0,back_translation
We have been celebrating 45 years of marriage.,Tubaire omu kujaguzaa kw'okwijuka emyaka 45 omubuswezi.,1.0,back_translation
The idea of apocalypse is that it will change human nature forever.,Ensikuhwaho kitekerezo kwonka abandi bagamba alihinduka enyikara yabantu nobwire.,1.0,back_translation
"They made fun of him and said, “He was once alive; he couldn't continue his work.”","okumusekereza, nibagamba ngu Omuntu onu akabanza okwombeka, tiyasobora kumara.",0.8579,back_translation
The farmer used a credit card to pay taxes to the tenants.,Ijo omulimi akakozesa karakita y'ebyetaago kusasura abalimi.,0.5797,back_translation
"to be make know n, instruct, inform, explain, describeed",okumanyisibwa,1.0,back_translation
"They said to him, “We will go with you.” So they went off and got into the boat, but that night they did not catch anything.”",Simoni Petero yabagambira ati Nigenda okusaha. Bamugambira ngu Naitwe ntugenda naiwe. Bagenda nibagwe'ra omu bwato; kandi ha kiro eki batakwate kintu.,0.9092,back_translation
A friend of mine does not know.,Omunywani womuntu takanya.,0.3944,back_translation
"the son of Joshua, the son of Judah, the son of Johanan, the son of Rhesa, the son of Zerubbabel, the son of Shealtiel, the son of Neri,","owa Yoseka, owa Yuda, obwa Yohanani, o wa Lesa, oWA Zerubaberi, okwa Sealityeri owa Neri,",0.4968,back_translation
"When the great and glorious Lamb is revealed, you will be given a crown of honor that will never fade away.",Kandi Omulisa omukuru obwaryolekwa mulihabwa ekondo eyekitinisa etarukuhotoka.,0.7007,back_translation
The traditional name is Bakasara.,Ibara ryenzarwa Ninyowe Bakasara.,1.0,back_translation
Do not be afraid of those who kill the body but cannot kill the soul; rather be afraid of the one who can destroy both soul and body in hell.,"Baitu mutalitina abaita omubiri, baitu tibasobora kuitamwoyo: hakire mutinege ogu arukusobora okuhwerekereza omwoyo nomubiri omu Gehena.",0.726,back_translation
"lie with head lower than feet, be inattentive",to lie with head rower than feet; obu obyama 011111kirab11 ekyeculikire olengeewka,0.7506,back_translation
"But if the seeds and the weeds are gathered together and are gathered near the harvest, then the end will come.","Baitu obweyana amahwa namatojo eyangwa, kandi eri haihi nokukyenwa: empero yayo nukwo kwokebwa.",0.8787,back_translation
The bunyoro clans were scattered over the cliff,Eby'entuga bya Bunyoro byasigikiraaga hansibika n'itaka,1.0,back_translation
You teach others do not teach yourself you proclaim do not steal,iwe arukwegesa ondi torukweyegesa wenka iwe anyakutebeza ngu Otaliiba oiba,0.7349,back_translation
"omba ise tasobora kubyegiza, be/she can afford to pretend while at h is/her grandmother'splace, but not at his/her father's. Ego, word of affir., yes, as in","omba ise tasobora kubyegiza (be/she can leaves to pretend which at h is/her nymen'sprace, but not at his/her isen. Ego, word of affir., yes, as in)",0.422,back_translation
The New Testament talks about Jesus’ birth.,Endagaano empyaka ebazaho okuzarwa kwa Yesu.,0.4273,back_translation
"We ourselves boast about you in the churches of God, because your endurance and faith help you in all your trials and hardships.","naitwe itwenka ntwenyumiriza omulinywe omu kanisa za ruhanga, obwokugumisiriza kwanyu nokuikiriza, omu kuhigwa kwanyu kwona nomuhito ebimucule'ra:",0.5116,back_translation
"Jesus said to the Roman army officer, “You will be left all alone, just as you are ready to do.” The owner was healed that very moment.","Yesu yagambira omunyoro owekihanda Omurumi ati Irokogende: nkokwoikireze, nukwo kibe kiti namberoli. Omuiru akakira omu kasumi ako.",0.3642,back_translation
to cause to spoil or defile oneself,okuesiisisa,1.0,back_translation
"to put right, cleanse, please each other",okusemezana,0.3303,back_translation
"He did not spare the ancient world, but saved Noah and the seven others, a preacher of righteousness, when he brought a flood upon the world of ungodly people.","kandi ataganyire ensi eyaira, baitu akakiza Nuha nabandi omusanju, omudumi wokuhiki'ra, obuyalesere okusandara kwamaizi ha nsi eyabatarukutina Ruhanga;",0.8452,back_translation
"Do not let anyone look down on him. Keep him in good health, so that he will come to me, for you are waiting to come with my friends.","Omuntu wena aleke okumugaya. Mumubohe'le nobusinge, nukwo aije namberendi: baitu numutegereza okuija hamu na bene baitu.",0.8618,back_translation
"May God, our Savior, give us grace, so that we may be the ones who receive eternal life.",Omujuni waitu: nukwo obutwihibweho obwembabazize tufoke abagwetwa omu kunihira obwomezi obutahwaho.,1.0,back_translation
I can do everything for the one who gives me strength.,Ninsobora okukora byona habwogu arukumpa amani.,1.0,back_translation
"I have made your name known to them, and I will make it known. The love you have for me will be in them, as I have in them.","Kandi nkabamanyisa ibara ryawe, kandi ndirimanyisa; okugonza okuwagondeze nyowe kuikale omubo, nanyowe omubo.",0.6217,back_translation
"Why didn't you give me my money to the poor, and when I arrived, they gave me back my money with money.","mara kiki ekyakutangire okuhayo erupiya zange hali abasagisa, nanyowe obunkuizire bakumpaire eyange hamu namagoba.",0.6231,back_translation
"and they will say to them, ‘Look at this place! Look! Don't go away or follow them!",Kandi balibagambira ngu Dora hali! Dora hanu! Mutalirugaho nobukwakuba okubahondera:,0.9485,back_translation
"to be crack, split, slit, cu ted",okuJcremburibwa,0.3393,back_translation
his people handed him over to them,abantu be bakamuhayo,1.0,back_translation
"to be dried up, be constipated each other",okuomerenvana,1.0,back_translation
"When the Sabbath was over the first day of the week, Mary Magdalene and the other Mary came to see the tomb","KANDI ekiro kya Sabiti obukikaba kimalize okuhwaho ekiro ekyokubanza ekyomusanju kikaba kili, Maryamu Magadalene na Maryamu owakabiri bakaija okurora ekituro",1.0,back_translation
They placed their hands on him and seized him.,"Bamutaho emikono, bamukwata.",1.0,back_translation
"get the result of one's done. rwangani, a-, n. cl. 6, (used in pl.)",to get the lesurt of one's deed. rugwani,0.4711,back_translation
So I solemnly declare to you this very day that I am innocent of the blood of all people.,Nikyo ndukubamanyisiza hati nti nyowe nsemezibweho esagama ya bona.,0.5333,back_translation
"Festus said in a loud voice, “Paul, you are crazy! Your great learning is driving you mad!”","Kandi obuyayetongaine ati Fesito yagamba niraka erihango ati Pauro, ogwire iraro; okusoma kwawe okwingi kwakugwisa iraro.",1.0,back_translation
I'm surprised that some things are bad.,Niimanyanta ngu ebintu ebimu nibinkora kubi.,1.0,back_translation
"I know that his commandment is eternal life. What I say, then, is what the Father has told me.","Kandi manyire ebiragirobye nubwo bwomezi obutahwaho: ebigambo ebingamba nka Isenyowe okuyangambire, nukwo ngamba nti.",1.0,back_translation
to heal each other,okukizana,1.0,back_translation
"“Teacher,” answered Nathanael, “you are the Son of God! You are the King of Israel!”","Nasaneri yanugarukamu ati Rabi, niwe Mwana wa Isaleri.",0.6678,back_translation
maize is a very important crop in the country and it is grown for food and cash.,Ebicooli kirimwa kikuru muno omu ihanga kandi kirimwa habwebyokurya nokutunda kutungamu sente.,0.6053,back_translation
"Then the twelve disciples called the crowd to him and said, “It isn't right for us to neglect the preaching of God's word in order to handle finances.","Kandi ikumi nababiri baketa namberebali ekitebe ekyabegeswa, nibagamba ntu Tikisemera itwe okuleka ekigambo kya Ruhanga okuhereza emeza.",0.8755,back_translation
the narrator knows all the actor,omusubirizi amanyire omuzaani boona,0.7598,back_translation
Then they believed his promises and sang his praise,Nubwo baikirize ebigambobye Nibazina okumukugiza,0.3124,back_translation
The king took pity and gave up his throne and destroyed those murderers and destroyed their city,Yakwata ekiniga yagaba iherye yahwerekereza abazinzi abo yayokya orubuga rwabu,0.3917,back_translation
I am glad about the way of the wicked what you have shown me I have rejoiced over all my wealth,nsemererirwe omuhanda ogwebi ebiwamanyisize Nkanyakusemererwa itungo ryona,1.0,back_translation
"shine, shine",estates. masaoda; to shine,1.0,back_translation
"“All we have here are five loaves and two fish,” they answered.","Bamugambira ngu Titunyinabyo hanu, rundi emigati etano nencu ibiri.",1.0,back_translation
"Paul answered, “I am a Jew, born in Tarsus in Cilicia, a citizen of an important city. Please let me speak to the people.”","Baitu Pauro yagamba ati Nyowe ndi Muyudaya, owa Taruso orwa Kirikiya, orubuga orutali rwokugayibwa: kandi nkwesengerize leka ngambire abantu.",0.6465,back_translation
he wrote and used the instrument to show what was not in the teacher's organization,akahandiika nakozesa ikaali yayoleka ebitatukire mukitongole kyebyenyegesa,0.8507,back_translation
"Don't you say, ‘There are four months to come,’ and ‘Get up,’ and ‘Get up,’ and ‘Get up,’ and ‘Get up,’’ to be baptized?","Inywe timurukugamba ngu Hasigaireho amezi ana, okugesa kuije? dora nimbagambira nti Muimukye amaiso ganyu, murole emisiri, emazire okwera okugeswa.",0.4985,back_translation
The Babylonians broke them and carried them to Babylon,Abakalidaya bakazicwacwana kandi emiringa yazo yona bagitwara Baburoni,1.0,back_translation
"rub (millet) to free it from oute r husk, etc.",to rub (millet) to free it from oute r husk,1.0,back_translation
some young women are much more important than the boys,abaisiki abamu bakira muno kuruga hali aboojo,0.6717,back_translation
"They were angry and said to him, “Yes, but you have not read that you have been given the task of giving praise to the children and the babies!”","babihirwa, nibamugambira ati Ego: timukasomaga ngu Omu kanwa ka bana abato nabenkerembe ohikirize okukugiza.",0.5902,back_translation
"to undo/reverse scold, forcibly, abuseing",okumaturdra,0.3082,back_translation
"A man must give to his wife what she wants, and a woman must also give to him as a husband.",Omusaija amuhege mukazi ekimusemerire: nukwo nomukazi amuhe ati omusaija.,0.8415,back_translation
"and said, “I assure you that unless you change and become like children, you will never enter the Kingdom of heaven.","nagamba ati Mananukwo nimbagambira nti Obumutahinduka numufoka nkabana abato, mutalitaha na kake omu bukama obwomu iguru.",0.7801,back_translation
"Show mercy to one another and forgive one another whenever there is a difference between you and the other. Do the same, as Christ has forgiven you.","numucule'rangana, kandi numuganyirangana inywenka, rundi haroho wena anyina ekigambo hali mutahiwe: nka Kristo nauwe okuyaganyire inywe nukwo nainywe mukole muti:",0.789,back_translation
"His likeness was like this, and his clothes became like linen cloths.","Ekisisanikye kikaba nikyangasana, nengoyeze zikaba nizera nkebirika:",0.5393,back_translation
"But you have been merciful to those in prison, and you endured with joy the loss of your riches. You know that you have a better and eternal life.","Baitu mukaganyira abo abakaba bali omu nkomo, kandi mukagumisiriza nokusemererwa okunyagwaho ebiitungo ryanyu, mumanyire ngu inywe munyina itungo erirukukira oburungi, kandi erirugaho ebiro nebiro.",0.8929,back_translation
"Jesus said to the vinedresser, “For three years I will come looking for some seed on this fig tree and will not look for it. Be on your feet. Why, then, do you look at the fig tree?”","Yagambira omulimi wemizabibu ati Dora, emyaka enu esatu nyija okuse'ra ebyana ha mutini gunu, ntarukubiboba; guteme; nugwema'raho ki ekibanja?",0.671,back_translation
The Holy Bible talks about God's will.,Baibuli erikwera ebazaho okugonza kwa Ruhanga.,0.7071,back_translation
"Peter remembered what had happened and said to Jesus, ""Look, Teacher, the fig tree you cursed has died!","Petero yaijuka yamugambira ati Rabi, dora, omutini oguwakyenere gwomere.",0.6453,back_translation
The Holy Spirit clearly teaches from all these arrangements that the way into the Most Holy Place has not yet been opened as long as the outer tent still stands.,"Omwoyo Ogurukwera namanyisa ati omuhanda ogwokutaha omu kiikaro ekirukwera tigukolekerwe, ehema eyokubanza ekyemerire;",0.4564,back_translation
The disease is treated very well if it is still known.,Oburwaire nubujanjabwa kurungi muno kakuba bumanywa bukyali.,1.0,back_translation
"But if the Lord is turned away, the veil will be removed.",Kandi obugulikahindukira Mukama waitu ekyokwesweke'ra kiriihibwaho.,0.3114,back_translation
"I have found it good to write to you, just as it was before.","nkarora kisemire okukuhandikira iwe, Teyofiro omurungi muno, nkokubyahe'raine;",1.0,back_translation
Have you journeyed to the springs of the sea or walked in the recesses of the deep,Iwe oratahire omu nsoro ezenyanja Rundi oragenzire omu myoyo eyenziha,0.473,back_translation
"Everything we ask for is given to him, because we obey his commands and do what pleases him.","Kandi ekigambo kyona ekitumusaba tukihabwa namberali, baitu ntukwata ebiragirobye, kandi ntukora ebirukumusimwa omu maisoge.",0.6129,back_translation
"to be fonn, seetuza, ktt-, oku- (pfed",okuseeturibwa,0.6433,back_translation
Pamba is the fruit of a plant for its purpose only.,pamba nikyo ekirimwa ekibyarwa habwokutunda kwonka.,0.6316,back_translation
For he has given him glory and taken him to a human court.,"Baitu akamuha ekitinisa, nattwara omu lingo gwomuntu;",0.6298,back_translation
"I have gone through the religion of the Jews more than many of my own people, and I have a greater share in the deeds that my ancestors performed.","baitu nkahingurana omu dini Yabayudaya okukira baingi abomu ihanga ryange abanakuzire nabo, nyina ihali erirukukira obwingi habwengeso ezinahairwe baisenkuru nyowe.",0.6125,back_translation
to undo/reverse be always visitinging,okucaacaaryura,0.3457,back_translation
Who will declare his way to his face and who will repay him for what he has done,Noha alimanyisa omuhandagwe ha maisoge kandi noha alimusasasura eki ekiyakozire,0.7277,back_translation
"One night he came to Jesus and said, “Teacher, we know that you are a teacher sent by God. No one can perform miracles unless God lives with him.","ogu akaija namberali ekiro, namugambira ati Rabi, tumanyire iwoli mwegesa ayarugire hali Ruhanga: baitu busaho muntu asobora okukora obwokuro'raho obwokora, rundi Ruhanga obwaikara nauwe.",0.9384,back_translation
But they plotted to fool him with their high places and made him their graven image,Baitu bakerema okumubihiza nebiikaro byabu ebiraihire Nibamukwasa ihali nebisisani byabu ebisarurwe,0.4282,back_translation
Jozadak went to the place where the LORD had taken Judah and Jerusalem by the hand of Nebuchadnezzar,Yehozadaki yagenda omu rukomero rwa MUKAMA obuyaihireyo Yuda na Yerusalemu habwomukono gwa Nebukadeneza,0.5089,back_translation
"Some teachers of the Law were sitting there, thinking in their hearts.","Baitu hakaba haroho abahandiki abamu baikalire, nibatekereza omu mitima yabu",1.0,back_translation
"While I was a sinner, they found me in the Temple, naked and with no hands tied around my feet. There were some Jews who had come from Asia.","obunkaba ndi omwebi, bansanga omu yekaru nyezibwe, ntanyina ekitebe nobukwakuba okutera obwogo: baitu hakaba haroho Abayudaya abamu abarugire omu Asiya,",1.0,back_translation
"“Sir,” they answered, “we remember that while that evil man was alive he said, “I will be raised to life three days later.”","nibagamba ngu Mukuru, tuijukire omubihi ogu akagamba, obwakaba ayomire, ati Ebiro obubirikahinguraho bisatu ndihumbuka.",0.8709,back_translation
"When the people saw it, they were afraid, and praised God for giving such authority to people.","Baitu ebitebe obubyaboine byatina, banyumiza Ruhanga ayahaire abantu obusobozi obuingaine aho.",0.3803,back_translation
"If the stars fall from heaven, and the powers that are in heaven will be shaken.","gwakwo, nenyunyuzi ziriba nizigwa okuruga omu iguru, nobusobozi obunyakuli haiguru bulitengesebwa.",0.5475,back_translation
And you will be hated by all of you for my sake.,Nainywe muranobwaga abantu bona habwibara ryange.,0.8314,back_translation
"o-,n.cl. I,(pl. banyankorno, a-)",crowd. munyankomo,0.4482,back_translation
Those who did not have it went away and preached the word to them.,"Kandi abo abatabaine, bagenda nibatebeza Ekigambo.",1.0,back_translation
And now I am coming soon. Happy is the one who reads the prophetic words in this book.,Kandi dora ninyija bwango. Ayina omugisa arukukwata ebigambo ebyokuragura ebyomu kitabu kinu.,0.8579,back_translation
demoralize of land and cattle.,demorarize of earth and ente.,0.3799,back_translation
"When the Pharisees saw this, they said to him, “Look! Your disciples have done a thing that is not lawful for you to do on the Sabbath.”","Kandi bafalisyo obubaboine bamugambira ngu Dora, abegeswabawe bakozire ekitali kyebiragiro okukora ha Sabiti.",0.806,back_translation
I will answer you and your companions with you,Ndakugarukamu Nabatahi bawe hamu naiwe,1.0,back_translation
"At that day you will know that I am in my Father, and you will be in my presence, and I in yours.","Ha kiro eki mulimanya ngu nyowe ndi omuli Isenyowe, nainywe omu nyowogu, nanyowe omulinywe.",0.6405,back_translation
"But Abraham said, 'Remember, my son, that you were given the good things in your life, and Lazarus was given the bad things. But now he has been made clean, and you will be made clean.'","Baitu Iburahimu yagamba ati Mwana wange, ijuka iwe okahebwa ebirungi ebyomubwomezi bwawe, na Razaro nukwo yahairwe ebibihire: baitu hati bunu ahumuzibwe hanuna, iwe nohu'rwa.",0.8857,back_translation
"And if I do what I don't want, I agree that the Law is good.","Kandi obundaba ninkora ekintarukugonza, buli nyikirize ebiragiro nti birungi.",0.6005,back_translation
For the gate is closed and the way is kept open for a few days and for only a few people who find it.,"Baitu irembo lifunzire nomuhanda ogutaha omu bwomezi muke, nabo abaguzora bake.",0.7115,back_translation
I was waiting for you,Mbaire nkulinzire,1.0,back_translation
"to rub oneself (e.g. goat against tree. But see also ekuuta. ekuuta, kw-, okw-, v.rejl., (pf. -ekusire)","to rub oneserf (e.g. goat against tree. But see arso ekuuta. ekuuta (kw-, okw-), v.lejr., (pf. -ekuusire))",0.9692,back_translation
"But if you give thanks to the Spirit, those who sit in your place say no “Amen” to you, because you do not know what they are saying.","Baitu oraba nosima omu mwoyo, anyakuikalire omu kiikaro kyabatamanyire aragamba ata Amina, obwomara okusima, baitu tamanyire ekyogamba?",1.0,back_translation
be tom (raggled),to be tom (ragged),1.0,back_translation
"But he answered and said, ‘Every plant that my heavenly Father did not plant will be pulled up",Baitu yagarukamu nagamba ati Ekibyawe kyona Isenyowe owomu iguru ekyatarabyaire kiryomberwamu,0.6889,back_translation
The earthquake caused farmers to leave their land and go to the cities.,Okusendwa kw'itaka kuleteriize abalimi kuleka itaka ryaabo kugenda mu bibuga.,0.5773,back_translation
"The servant answered, ‘Sir, I have kept this whole year from being a burden to you.","Ogu yagarukamu nagamba ati Mukama wange, guleke nomwaka gunu, obundikahikya okugwombera nokugulimamu obusa:",0.8522,back_translation
"Have mercy on me, my friends for the hand of God has made me well",Munganyire munganywe ai bambi enganjani zange baitu omukono gwa Ruhanga gunkozireho,1.0,back_translation
In the month of November we give things to the people of this day in our faith.,Omumwezi gwa Ramadani tuhayo ebintu habwakasumi kanu omukwikiriza kwaitu.,0.6058,back_translation
"When we left the Council, we did not start standing on the road to drink.",Obuturugire murukurato tabandizege kwemera ha bbara kunywa ekyokunywa.,0.5633,back_translation
The cold weather is cold if they are not using blood.,Omubazi gwobuhuka oburukunyunyuta kakuba batagukozesa esagama nehwamu.,1.0,back_translation
"Jesus answered them, “Do you believe now?",Yesu yabagarukamu ati Hati bunu muikirize?,1.0,back_translation
"When he saw Jesus, he gave a loud cry, threw himself down at his feet, and shouted, ""Jesus, Son of the Most High God! What do you want with me? I beg you, don't punish me!","Obuyaboine Yesu, yayamuza nainama omu maisoge, nagamba iraka likoto ati Nyowe njunaine ki naiwe, Yesu Omwana wa Ruhanga, anyakulihaiguru muno? Nkwesengerize otancanza.",0.4043,back_translation
He reached out and took her by the hand and left.,"Yabataho emikonoye, yarugayo.",1.0,back_translation
The leopard captured the leopard,Engo ekakwata enturge,0.6687,back_translation
"The seven stars that I saw in my right hand are the seven gold lampstands. The seven stars are the angels of the seven churches, and the seven lampstands are the seven churches.","ekyansita kyenyunyuzi omusanju ezoboine omu mukono gwange ogwoburyo, netabaza omusantu eza zabu. Enyunyuuzi omushaju nibo bamaraika bekanisa omusanjo: kandi etabaza musanju nizo kanisa omujaju.",0.5742,back_translation
A small bundle of flour is enough for the whole crop.,Ekijege ekirumirre ente kike ----kitumbisa ekiihuro kyona.,0.3439,back_translation
"You know that while you were still a Gentile, you were handed over to idols which you did not speak; you were like them everywhere.","Mumanyire ngu Obumukaba muli Bamahanga, mwahabiraga hali ebisisani ebitarukugamba, nkokumwahabiraaga hona.",0.4321,back_translation
King Agrippa! I am going to make my appeal before you now because of all the instructions I have been given to the Jews.,"Mpirirwe,omukama Agulipa, baitu ningenda okwetonganira omu maiso gawe hati obwebigambo byona ebinalegerwe Abayudaya:",0.714,back_translation
"office of a bishop, diocese.",office of a bishop (diocese),1.0,back_translation
"For the world is the Lord's, and its life is its work.",baitu ensi ya Mukama waitu nokuijura kwayo.,0.6115,back_translation
to cause to bow dow n,okuinamisa,0.3021,back_translation
"to undo/reverse roll in mad, play in dirting",okuejulingura,0.3719,back_translation
You are the one who wants to come or we are waiting for someone else,Niwe ogu arukwenda kuija rundi tutegereze ondi,0.5039,back_translation
he forced them not to believe his own son to go to night,akabahabura kutaikirizaaga omwana we weena kugenda ekiro,0.8424,back_translation
"one in authority, authority.",one in authority,0.5373,back_translation
"One of the teachers of the Law came to him and said, “Listen! The men who put Jesus in prison are in the Temple, standing up to teach the people.”","Kandi hakaija omu nabatebeza ati Dora, abantu abo abamutaire omu nju yenkomo bali omu yekaru, bemerire nibegesa abantu.",0.6785,back_translation
Customers should be faithful to their customers,Abaguzi baina kuba besigwa hali abaguzi baabu,0.4347,back_translation
"But give what is in your heart to God, and he will give you all that is good for you.","Baitu ebyomu mutima mubigabege okuba ebyokuganyira; kandi dora, byona bisemezibwe halinywe.",1.0,back_translation
"blackened vegetableation left by fire. nkaran ga, e-, n., cl.9, (pl. same)","brackened vegetation left by fire. nkaran ga; brackenled vegetation left bring fro. nkaran ga, e-, n., cr.9, (pr. same)",1.0,back_translation
"For nation will fight against nation and kingdom against kingdom. There will be earthquakes in one place after another, and there will be times when they will not be. This is the beginning of trouble.","baitu ihanga liriramagira ihanga, nobukama bukama butahi bwabwo: halibaho emisisa omu biikaro ebindi nebindi; halibeho ebihe; ebi nukwo kubanza kwobujune.",0.4473,back_translation
"I will not be ashamed, but I will be less ashamed of you and of my servants.",tindikwatwa ensoni: ndeke okusisana nimbatinisa nebaruha zange.,0.6709,back_translation
The Babiiiru live in the convent.,Ababikiira baraara omu Konventi.,0.6435,back_translation
Teach them to obey all that I have commanded you and I will be with you forever until this age of peace is over,numubegesa okukwata byona ebinabaragire kandi dora nyowe ndi hamu nainywe ebiro byona okuhikya obusinge bunu obubulihwaho,1.0,back_translation
the industrial revolution started in AD 1760,okujumbira amakorro omubaraya kukatandika AD1760,1.0,back_translation
So the disciples left off and went into the city and found everything just as Jesus had told them. They prepared the Passover meal.,"Kandi abegeswa barugayo, bataha omu rubuga, basanga nkokuyabambire: batekanize Okuhingurwaho.",0.8958,back_translation
The sons of Midian were Ephah Epher Hanok Abida and Eldaah,Nabana ba Midiani Efa na Efere na Hanoki na Abida na Eridaa,1.0,back_translation
to cause to behave fool ishly,okugwijagisa,0.3256,back_translation
If his children forsake my law and do not walk in my law,Abanabe obubalirekayo ebiragiro byange Okutagendera omu misango yange,0.9122,back_translation
"What shall we say, then, of Abraham, the father of our race? What was his experience?",NUKWO kiki ekituragamba Iburahimu isenkuru itwe ekiyaboine nkomubiri okuguli?,0.6681,back_translation
"Whatever you have done, do it with all your heart, just as the Lord does, and not with human beings.","kyona ekimurakoraga mukolege nomutima, nka habwa Mukama waitu, kunu tahali habwa abatu;",1.0,back_translation
A crop specifically grown to protect the soil.,Ekirimwa habwokuswekerra itaka.,0.3267,back_translation
"For the foolishness of God is wiser than men, and the weakness of God is stronger than men.",Baitu obutami bwa Ruhanga bwamagezi okukira abantu: kandi obugara bwa Ruhanaga bwamani okukira bantu.,0.6142,back_translation
"Be on watch and pray that you will not fall into temptation. The spirit, however, is eager to kill you, but the flesh is weak.","Murole, musabe, muleke okutaha omu kwohebwa: omutima nugwo gurukugonza mali, baitu omubiri mugara.",0.5513,back_translation
to listen to or for each other,okuhurlirizana,1.0,back_translation
"to collect, gather together each other",okusoroozana,1.0,back_translation
You heard that it was said Love your neighbor and hate your enemy,Mukahura okukyagambirwe ngu Ogonzege mutahi wawe onobege omunyanzigwa wawe,0.8555,back_translation
