english,lunyoro,domain,notes
groundnut oil is used for cooking,amafuta g'ebinyeebwa gakozesibwa okuteeka,AGRICULTURE,
sweet potato,obugimbi,AGRICULTURE,
sweet potatoes grow well in sandy soil,obugimbi bukura kurungi omu enyika y'omucanga,AGRICULTURE,
we harvest sweet potatoes after three months,tuzingura obugimbi hanyuma y'emyezi esatu,AGRICULTURE,
potato,enjuku,AGRICULTURE,
potatoes are grown in highland areas,enjuku ziriimwa omu bisozi,AGRICULTURE,
we boil potatoes for food,tuteeka enjuku okulia,AGRICULTURE,
cattle,ente,AGRICULTURE,
cattle are important livestock in Bunyoro,ente niyo bisoro by'omumaka ebikuru omu Bunyoro,AGRICULTURE,
we keep cattle for milk and meat,turiisa ente enyama n'amata,AGRICULTURE,
cattle graze in the fields,ente ziriisa omu mirima,AGRICULTURE,
pig,embizzi,AGRICULTURE,
we keep pigs for meat,turiisa embizzi enyama,AGRICULTURE,
pigs eat kitchen waste,embizzi zirya ebisaasiro by'ekyokulya,AGRICULTURE,
pig farming is profitable,okuriisa embizzi nikwo mulimu omukwata ensimbi,AGRICULTURE,
dairy farming,okuriisa ente z'amata,AGRICULTURE,
dairy farming provides income for families,okuriisa ente z'amata kuleeta ensimbi eri amaka,AGRICULTURE,
dairy cows produce a lot of milk,ente z'amata ziha amata maingi,AGRICULTURE,
soil erosion,okwanguka kw'enyika,AGRICULTURE,
soil erosion destroys farmland,okwanguka kw'enyika kukora enyika y'obulimu,AGRICULTURE,
trees prevent soil erosion,emiti yegema okwanguka kw'enyika,AGRICULTURE,
price,omuwendo,AGRICULTURE,
the price of maize has gone up,omuwendo gw'ebicooli gwakwata,AGRICULTURE,
farmers complain about low prices,abalimi bagamba habw'omuwendo omuke,AGRICULTURE,
sell,okugurisa,AGRICULTURE,
farmers sell their produce at the market,abalimi bagurisa ebiriimwa byabo omu isoko,AGRICULTURE,
we sell bananas every week,tugurisa ebitooke buli sande,AGRICULTURE,
buy,okugura,AGRICULTURE,
we buy seeds from the cooperative,tugura embibo omu kibiina ky'abalimi,AGRICULTURE,
the government buys grain from farmers,gavumenti igura ebikoola okuva eri abalimi,AGRICULTURE,
