english,runyoro
The inflation rate was expected to rise.,okuhinduka kwamihendo nikinihirwa okweyongera haiguru
The inflation rate will be expected to rise.,okuhinduka kwaemihendo yebintu nikwija okunihirwa okweyongera haiguru
The inflation rate has been expected to rise.,okuhinduka kwemihendo yebintu kunihirwe okweyongera haiguru
The temple near my home has bells that ring all day-I love hearing them.,Yekaru haihi ne'eka yange enyina ebidde ebiteera omwizooba lyoona mbigoza kibihurra.
The temple near my home had bells that ring all day-I love hearing them.,ekeleziya haihi neka yange ekaba ine ebide ebitera ekiro kyona -nyegomba okubihuliriza
The temple near my home will have bells that ring all day-I love hearing them.,ekeleziya haihi neka yange nija okuba iine ebide ebitara ekiro kyona -nyegomba okubihuliriza
The temple near my home has had bells that ring all day-I love hearing them.,ekeleziya haihi neka yange egira ebide ebitera ekiro kyona -nyegomba okubihuliriza
Joseph Kony led to LRA rebellion.,Yozefu Konyi akebembera obwemi.
Joseph Kony will lead to LRA rebellion.,joseph kony naija okwebembera orutaro rwokuhakaniza orwaLRA
Joseph Kony has led to LRA rebellion.,joseph kony ayebembire orutaro rwokuhakaniza orwaLRA
I have a corner in my room where I pray-it's simple but holy to me.,Nyina endugu mukisiika kyange nambere nsabira-kataito baitu keezibwe.
I had a corner in my room where I pray-it's simple but holy to me.,nkaba nyina akasonda omukisika kyange nambere nasabira- kyanguhire baitu kihikirire hali nyowe
I will have a corner in my room where I pray-it's simple but holy to me.,ninyija oba na akasondo omukisika kyange nambere nsasbira- kyanguhire baitu kihikirire hali nyowe
I have had a corner in my room where I pray-it's simple but holy to me.,ngizire akasonda omukisika kyange nambera nsaabira- kyanguhire baitu kihikirire hali nyowe
How much weight have you lost in the past month?,Okeehere omu bulemeezi ekirukwingana nkaha.
How much weight had you lost in the past month?,bulemeziki obwokeheze omwezi oguhaire
How much weight will have you lost in the past month?,bulemeziki obworukwija okukehya omwezi oguhaire
How much weight has had you lost in the past month?,bulemeziki obwokehezeibwe omwezi oguhaire
My best group project was when we became friends first and worked together second.,omulimo gwange omurungi ogutwakozire tuli bantu baingi gwali ogu ogutwabandize kunywana nukwo hamu kyayongeraho
My best group project is when we became friends first and worked together second.,omulimo omukuru omukitebe guli okubanza okuba abanyani kandi no okukorahamu
My best group project will be when we became friends first and worked together second.,omulimo omukuru omukitebe nigwija okuba okubanza okuba abanyani kandi no okukorahamu
My best group project has been when we became friends first and worked together second.,omulimo omukuru om ukitebe gubaire okubaza okuba abanya ni kandi no okukorahamu
My art teacher told me l had no talent - l proved her wrong.,Omusomesa wange webisisani akangamba tinyine kisembo kyobuhangwa mwolekere nabiiha.
My art teacher tells me l had no talent - l proved her wrong.,omusomesa wange oyokusiga akangamba ngu tinyine ekisembo- nkaka mwoleka nti agwiri
My art teacher will tell me l had no talent - l proved her wrong.,omusomesa wange naija okungamba ngu tinyine ekisembo - nkamwoleka nti agwiri
My art teacher has told me l had no talent - l proved her wrong.,omusomesa wange oyokusiga akaba agambire ngu tinyine ekisembo -nkamwoleka nti agwire
I wear a cross around my neck-it's a areminder of who i belong to.,"Njwara omusalaba omubikya byange,gunyijukya nooha owumpondera."
I wore a cross around my neck-it's a areminder of who i belong to.,nkajwara omusalaba omubikya byange- kijukyokyo ekyogu nambere ngwa
I will wear a cross around my neck-it's a areminder of who i belong to.,ninyija okujwara omusalaba omubikya byange -kijukyo ekyogu nambere ngwa
I have worn a cross around my neck-it's a areminder of who i belong to.,njwaire omusalaba omubikya byange - kijukyo ekogu nambere ngwa
We stayed up all night finishing our presentation and ended up getting an A.,tukamara obwire bwekiro bwona nitumaliriza ebitwali nitwija kwoleka tukamalirra tukozire kurungi muno twatunga guredi yokubanza enungi muno.
We will stay up all night finishing our presentation and ended up getting an A.,nitwija okumara ekiro kyona niturora ntumaliriza omwolekyo gwaitu kandi tukamalira tutungire A
We have stayed up all night finishing our presentation and ended up getting an A.,tumazire ekiro kyona niturora nitumaliriza omwolekyo gwaitu kandi tukamalira tutungire A
He has diversified his investments across sectors.,Omusaija ataire embyarwa omubuli katongole
He diversifies his investments across sectors.,ahinduramu okusiga senteze omubulikimu
He diversified his investments across sectors.,akahinduramu okusiga senteze omubulikimu
He will diversify his investments across sectors.,naija okuhinduramu okusiga senteze omubulikimu
The patient's immune system is compromised.,omubirri gw'omurwaire tigurukusobora kurwanisa burwaire.
The patient's immune system was compromised.,obutafwali bwomubiri obwomuraire bukwasirwe
The patient's immune system will be compromised.,obutafwali bwomubiri obwomuraire nibwija okuba bukwasire
The patient's immune system has been compromised.,obutafwali bwomubiri obwomurairebubaire bukwasirwe
Colonial boundaries ignored ethnic and cultural divisions.,Emitaano ayabakemi bamatwale etafeeho obuzaale nengeso ezobuzalirwana.
Colonial boundaries will ignore ethnic and cultural divisions.,emitano yabajungu terukwija okumanyira ebika byabantu nobuhangwa
Colonial boundaries have ignored ethnic and cultural divisions.,emitano yabajungu temanyirire ebika byabantu nobuhangwa
The cobra spread its hood and swayed to warn us away.,encweera ekazimbya ekitwe kyaayo yayehungya kututinisa
The cobra will spread its hood and swayed to warn us away.,enkwera nija okwimukya omutwe gwayo kandi egutwara enyuma no omumaiso okuttinisa
The cobra has spread its hood and swayed to warn us away.,ekwera imukya omutwe gwayo kandi egutwaire enyuma no omumaiso okututinsa
The actor plays the role of the hero in the local drama.,omuzaani womuzaano gwaharutuutu ataaha nazaana ekicweeka kyomusinguzi mu muzaano eyabulikiro
The actor played the role of the hero in the local drama.,omuzani akazana nkemanzi omumuzano
The actor will play the role of the hero in the local drama.,omuzani naija okuzana nkenmazi omumuzano
The actor has played the role of the hero in the local drama.,omuzani azaine nkemanzi omumuzano
The clinic specializes in women's health.,Akarwarro nikakira kujanjaba abakazi.
The clinic specialized in women's health.,irwaro likakomamu okujanjaba obwomezi bya abakaizi bonka
The clinic will specialize in women's health.,irwaro nirija okukomamu okujanjaba obwomezi bya abakazi bonka
The clinic has specialized in women's health.,irwaro likomeremu okujanjaba obwomezi byabakazi bonka
The earthquake measured seven point five on the Richter scale.,omusisa gukabima musanju nekicweka nobucweeka ha ricita muzaani yagwo
The earthquake will measure seven point five on the Richter scale.,omusisi nigwija okupimwa musanju nobutonyezi butano ha mizani ya ricita
The earthquake has measured seven point five on the Richter scale.,omusisi gupimirwe musanju nobutonyezi butano ha mizina ya ricita
Our family has followed the same marriage customs for generations.,Kumara emyaka nemyaka ekka yaitu ebaire nehondere emigezo yakuswera erukusisana.
Our family follows the same marriage customs for generations.,eka yaitu ehondera omulingo gw'obuswere gwenyini okumara ebyasa
Our family followed the same marriage customs for generations.,eka yaitu ekahondera omulingo gw'obusere gwenyini okumara ebyasa
Our family will follow the same marriage customs for generations.,eka yaitu nija okuhondera omulingo gw'obusere gwenyini okumara ebyasa
"By 2050, we will have lost many coastal areas to sea level rise","Omumwaaka enkumi ibuli n'ataano , nitwiija kuba tuferurwe ebicweeka eburi hamyegeego y'eryarya,eburi harulengo orwamaizi orwahansi."
"By 2050, we lose many coastal areas to sea level rise","omu 2050, tufirwa ebisa by'enyanja ha kweyongera kwamaizi"
"By 2050, we lost many coastal areas to sea level rise","omu 2050, tukafirwa ebisa by'enyanja habwo okweyongera kwamaizi"
"By 2050, we have lost many coastal areas to sea level rise","omu 20250, tuferirwe ebisa byenyanja habwo okweyongera kwamaizi"
"If we protect our forests, we can preserve biodiversity and prevent climate change.",Kakuba tulinda ebibira byaitu ntusobora kwikazaaho ebyobuhangwa ntutangirayo n'empindahinduka y'obwiire.
"If we protected our forests, we can preserve biodiversity and prevent climate change.","kakuba twalinzire ebibira baitu, ntusobora okulinda engeri eby'ebihangwa eby'emihanda n'emihanda"
"If we will protect our forests, we can preserve biodiversity and prevent climate change.","kakuba twija okilinda ebibira baitu, ntusobora okulinda engeri eby'ebihangwa eby'emihanda n'emihanda"
"If we have protected our forests, we can preserve biodiversity and prevent climate change.","kakuba tutulinzire ebibira baitu, ntusobora okulinda engeri eby'ebihangwa eby'emihanda n'emihanda"
The interest rates are a key factor in investment decisions.,orulengo rwa magoba hansimbi nikyo kisumuruzo omuncwamu eyokubyara ensimbi
The interest rates were a key factor in investment decisions.,amagoba kyali nsonga nkuru muno omusonga y'okusiga sente
The interest rates will be a key factor in investment decisions.,amagoba nija okuba ensonga nkuru muno omukusuga sente
The interest rates have been a key factor in investment decisions.,amgaba ebaire nsonga nkuru muno omukusiga sente
