english,lunyoro
There are more things at Kaseese.,Kaseese haliyo ebintu bingi.
Buganda is a big kingdom.,Buganda ni obwami bunene.
Tooro is in western Uganda.,Tooro eri oburengerezuba bwa Uganda.
Bunyoro is an ancient kingdom.,Bunyoro ni obwami bw'ekiro.
The offices are near the market.,Zaaofiisi ziri haihi n'isoko.
The motor cars are fast.,Zaamotoka ziyanguha.
The cow is white.,Ente kyeru.
The cow is black.,Ente kikara.
The cow is reddish brown.,Ente kigaaja.
The cow is brown.,Ente kitaka.
The cow is grey.,Ente kibuubi.
The cow is dark brown.,Ente kisiina.
The grass is green.,Obuheesi kinyansi.
The banana is yellow.,Egitooke kyenju.
The sky is blue.,Eggulu bbururu.
The cloth is purple.,Orugoye kihuukya.
All their cattle are reddish brown.,Ente zaabo zoona bigaaju bisa.
Count each group of cows of the same colour.,Buli nte ez'erangi emu muzibale zonka.
The white cow is mine.,Ente kyeru ni yange.
I want a black cow.,Nkunda ente kikara.
The green grass is fresh.,Obuheesi kinyansi busha.
What colour is the cow?,Ente erangi ki?
The cow is light brown.,Ente kataiki.
The cloth is dark blue.,Orugoye kaneke.
The flower is purple.,Ekimuli kihuukya.
white,kyeru
black,kikara
green,kinyansi
yellow,kyenju
brown,kitaka
grey,kibuubi
red,kigaaja
purple,kihuukya
dark brown,kisiina
light brown,kataiki
gloomy person,omutaseka
one who does not laugh,omutaseka
touchy person,omutagambwaho
one who is easily offended,omutagambwaho
dirty person,omutooga
one who does not take a bath,omutooga
title of saza chief,omutaleesa
Mwenge/Tooro chief title,omutaleesa
one who climbs the table,omutembameeza
pet name,omutembameeza
one who fails to clean,omutacunguurra
pet name,omutacunguurra
one who fails to cut nails,omutacwanono
pet name,omutacwanono
person who never laughs,omutaseka
one who does not bathe,omutatooga
dirty person,omutatooga
person who never bathes,omutatooga
one who does not eat,omutarya
person who refuses food,omutarya
person who never eats,omutarya
one who does not speak,omutagamba
silent person,omutagamba
person who never speaks,omutagamba
one who does not go,omutagenda
stay-at-home person,omutagenda
person who never gos,omutagenda
one who does not study,omutasoma
person who refuses school,omutasoma
person who never studys,omutasoma
one who does not dance,omutazina
person who refuses to dance,omutazina
person who never dances,omutazina
one who does not eat,omutalya
person who refuses food,omutalya
person who never eats,omutalya
one who does not ask,omutabaza
proud person,omutabaza
person who never asks,omutabaza
one who does not look,omutarora
inattentive person,omutarora
person who never looks,omutarora
one who does not work,omutara
lazy person,omutara
person who never works,omutara
one who does not drink,omutanywa
teetotaller,omutanywa
person who never drinks,omutanywa
one who does not come,omutaija
absent person,omutaija
person who never comes,omutaija
one who does not arrive,omutahika
person who is always late,omutahika
person who never arrives,omutahika
one who does not bring,omutaleeta
person who never brings anything,omutaleeta
person who never brings,omutaleeta
He is a gloomy person who never laughs.,Nuwe omutaseka.
She is a dirty person who never bathes.,Nuwe omutooga.
He is a touchy person.,Nuwe omutagambwaho.
The gloomy person sat alone.,Omutaseka yaikara wenka.
A dirty person is not welcome.,Omutooga takiribwa.
He is a lazy person who never works.,Nuwe omutakora.
She is a silent person.,Nuwe omutagamba.
A person who never eats is sick.,Omutarya arwaire.
professional cultivator,endimi
cf. omulimi,endimi
professional trader,ensuubuzi
cf. omusuubuzi,ensuubuzi
incurable liar,encwangya
cf. omucwangya,encwangya
permanent widow/widower,enfaakati
cf. mufaakati,enfaakati
frequent wedding attendant,entaahamagenyi
one who always goes to parties,entaahamagenyi
one who visits only for food,engenderakulya
"one who is always visiting, idler",embungabungi
one who has never seen anything striking,entakabonaga
professional cultivator,enlima
farmer,enlima
habitual cultivater,enlima
professional trader,ensuubuza
merchant,ensuubuza
habitual trader,ensuubuza
one who always asks,embaza
inquisitive person,embaza
habitual askr,embaza
one who is always going,engenda
wanderer,engenda
habitual gor,engenda
one who always eats,enrya
glutton,enrya
habitual eatr,enrya
one who always studies,ensoma
bookworm,ensoma
habitual studyr,ensoma
one who always dances,enzina
dancer,enzina
habitual dancer,enzina
professional builder,embaka
builder,embaka
habitual buildr,embaka
professional hunter,enhiga
hunter,enhiga
habitual huntr,enhiga
professional judge,embura
judge,embura
habitual judger,embura
one who always speaks,engamba
talkative person,engamba
habitual speakr,engamba
one who always works,enkora
hard worker,enkora
habitual workr,enkora
professional planner,empanga
planner,empanga
habitual planr,empanga
one who sees everything,embona
observer,embona
habitual seer,embona
The professional cultivator works hard.,Endimi ikora nkakiiko.
The professional trader sells many things.,Ensuubuzi itunda ebintu bingi.
The incurable liar is not trusted.,Encwangya tikirwa.
The permanent widow lives alone.,Enfaakati yaikara yeka.
The professional builder built the house.,Enbaka yabaka enju.
The professional hunter caught a lion.,Enhiga yafumba empologoma.
The glutton ate all the food.,Enrya yarya ebyokurya byoona.
big/disrespectful man,isaija
augmentative of man,isaija
youth acting badly,isigazi
augmentative of youth,isigazi
insolent child,eryana
augmentative of child,eryana
girl of great beauty/youth,eriisiki
augmentative of girl,eriisiki
sturdy/troublesome peasant,eriiru
augmentative of serf,eriiru
monster-like person,erintu
augmentative of person,erintu
dear poor man (affection),ekiiru
augmentative of serf,ekiiru
clumsy/contemptible man,ekisaija
augmentative of man,ekisaija
funny-looking child (contempt),ekiyana
augmentative of child,ekiyana
big/bad man,isaija
clumsy man,ekisaija
big man (pejorative),isaija
contemptible man,ekisaija
insolent child,eriana
funny-looking child,ekiana
big child (pejorative),eriana
contemptible child,ekiana
girl of great beauty,eriisiki
bold girl,ekiisiki
big girl (pejorative),eriisiki
contemptible girl,ekiisiki
sturdy peasant,eriiru
dear poor man,ekiiru
big serf (pejorative),eriiru
contemptible serf,ekiiru
monster-like person,intu
huge person,ekintu
big person (pejorative),intu
contemptible person,ekintu
big/bold woman,ikazi
contemptible woman,ekikazi
big woman (pejorative),ikazi
troublesome youth,ekisigazi
big youth (pejorative),isigazi
contemptible youth,ekisigazi
That big disrespectful man came.,Isaija yajayo.
The insolent child broke the cup.,Eryana yasya ekikopo.
That clumsy man fell down.,Ekisaija yaguwa.
The dear poor man is my friend.,Ekiiru ni mukwangu.
That bold girl is clever.,Eriisiki mwangu.
The troublesome youth ran away.,Isigazi yabba.
That huge person ate all the food.,Erintu yarya ebyokurya byoona.
The contemptible woman laughed.,Ekikazi yaseka.
in the mongoose's place,omwabugwo
inside the mongoose's home,omwabugwo
at the mongoose's place,owaabugwo
to the mongoose's home,owaabugwo
in the mongooses's place,omwabuyo
inside the mongooses's home,omwabuyo
at the mongooses's place,owaabuyo
to the mongooses's home,owaabuyo
in the thing's place,omwabukyo
inside the thing's home,omwabukyo
at the thing's place,owaabukyo
to the thing's home,owaabukyo
in the things's place,omwabubyo
inside the things's home,omwabubyo
at the things's place,owaabubyo
to the things's home,owaabubyo
in the animal's place,omwabuyo
inside the animal's home,omwabuyo
at the animal's place,owaabuyo
to the animal's home,owaabuyo
in the animals's place,omwabuzo
inside the animals's home,omwabuzo
at the animals's place,owaabuzo
to the animals's home,owaabuzo
A mosquito amongst its relatives is addressed as Rwakinumi.,Omubu guli owabugwo bagweta Rwakinumi.
Go to your home.,Mugende owaabu-inywe.
For what reason have they had to leave their home?,Owaabubo baihirweyo ki?
At Nyakato's house.,Omwabu Nyakato.
At those women's house.,Omwabu abakazi abo.
At these people's house.,Omwabu banu.
At those people's house.,Omwabu bali.
The mongoose is in its place.,Omusege guli omwabugwo.
The animal is at its place.,Enyamaishwa iri owaabuyo.
