lunyoro,english,domain,pos,letter
akahuno,silence due to suprise,General,noun,A
akabindi,nose of a buffalo or hyena,Common Animals,noun,A
akabindirano,to be taken in an impromptu manner,General,verb,A
akaboge,.sitting sideways with legs tucked inward,General,noun,A
akahuuhirizi,small lizard-like animal,Common Animals,noun,A
akabonero,a sign: a sign of a cross,General,noun,A
akabubi,hymen: vagina membrane,General,noun,A
akabumbuzo,calm place: a place where everything is peaceful,General,noun,A
akaimeeme,end of breastbone,General,noun,A
akaburyo,hillock: small hill,General,noun,A
akabuuza,question mark: a punctuation mark used to pause a question,General,noun,A
akaca,sparrow-hawk,Common Animals,noun,A
akakorwa,weasel,General,noun,A
akacabari,the act of stroking the clitoris during sexual intercourse,General,noun,A
akacancabari,rags:an old torn cloth,General,noun,A
akaceceko,"lull, silence: a quiet moment",General,noun,A
akacencuzo,a sieve,General,noun,A
akaceremete,a person who is thin and short,General,noun,A
akacookore,blemish,General,noun,A
akacookorekane,detail: many small facts about something or someone,General,noun,A
akacuju,a very old cloth,General,noun,A
akacumu,pen: instrument for writing in ink,General,noun,A
akaina,"hole,small",General,noun,A
akacurama,bat: a flying mammal,Common Animals,noun,A
akacwa mabunu,penis,General,noun,A
akacwabazaire,millipede: very small insect with a long narrow body and many pairs of legs,Common Animals,noun,A
akainyamunya,type of bird with black and white stripes,General,noun,A
akacwa-mburara,a type of snake,Common Animals,noun,A
akacwankoni,a noctunal bird that whistles,General,noun,A
akacwano,something done excessively,General,noun,A
akadeeya,a sack made of sythentic fibres,General,noun,A
akadobo,pail or bucket,General,noun,A
akaduukuru,cell: a small room in a prison,General,noun,A
akafubire,pornography: written or pictorial matter intended to arouse sexual feelings,General,noun,A
akafunzi,fire-finch: a tiny reddish bird,Common Animals,noun,A
akafunjo,cyperus papyrus,General,noun,A
akagarani,"an air tight sealed container for preserving food, made of a tin plate or aluminium",General,noun,A
akairima,darkness,General,noun,A
akagiigya,a certain type of grass normally planted in the compound,Nature & Environment,noun,A
akagiiko,tea spoon: small spoon used for stirring tea,General,noun,A
akagombambure,ankle: a protruding bone where the leg is joined to the foot,General,noun,A
akairiringwa,whirlwind,Nature & Environment,noun,A
akagoroda,bungle: a bracelet,General,noun,A
akagwe,calamity: unexpected bad situation,General,noun,A
akagega,"basket with handles, used for shopping",General,noun,A
akairirizi,"twilight,dusk",General,noun,A
akagegena,".sieve: instrument used for seperating solids from liquids, coarser from finer particles",General,noun,A
akagenda-kahiire,. a brownish grasshopper,Common Animals,noun,A
akagyogo,a small bottle of 250ml used for measuring spirits,General,noun,A
akairukairukaine,chaos,General,noun,A
akahararo,infatuation: the act of befriending or being in love with someone or something that is still new for a short period of time,General,noun,A
akahatano,competetion for something,General,noun,A
akaheehe,citement: a condition where someone gets excited on hearing or getting something good,General,noun,A
akaisikina,hiccup,General,noun,A
akahimba,clitoris,General,noun,A
akaho,an eye disease that causes temporaryloss of sight temporarily,Health & Medicine,noun,A
akahoiho,a small moth,Common Animals,noun,A
akaisikondo,hiccup,General,noun,A
akahuge,".confusion: a state of uncertainity about what is happening, what should be done, what something means, etc",General,noun,A
akahumbi,"one billion: a number of things equivalent to one thousand millions; 1,000,000,000",Mathematics,numeral,A
akahuna,a state of confusion,General,noun,A
Abeeka,"people of the home, members of the family",General,noun,A
abiirra,"to show signs on the face of approaching death, be near death",General,verb,A
akahungabeebe,a small flying termite,Common Animals,noun,A
akahuumuro,a short break from daily routine,General,noun,A
akaiba,a small dove which stays in the bush,General,noun,A
akaibo,a small basket in which mingled millet is served,General,noun,A
akaimukiriro,upraising: a state of confusion where people move up and down to show their disagreement,General,noun,A
akainiko,the act of helping someone to complete the task,General,noun,A
akaishebakami,space between the leg and the udder in a cow,Common Animals,noun,A
akaitanda,a tiny snake-like lizard with a very smooth skin and normally found in dry grass,Common Animals,noun,A
akaitanyenje,insect repellant: a tablet used to deter crawling insects from destroying clothes,Health & Medicine,noun,A
akaitiro,hidden place in the house,General,noun,A
akajagiro,market: a place where people meet to buy and sell their goods,Economics And Commerce,noun,A
akajoogo,contempt,General,noun,A
akajugo,a pen cover,General,noun,A
akajuma,tablet: a small solid piece of medicine that is swallowed,Health & Medicine,noun,A
akajunde,stench: an unpleasant smell,General,noun,A
akakiiko,"1) council, committee or subcommittee: a group of people elected to do a certain task",General,noun,A
akakiro,a small hillock,General,noun,A
akaituuru,small area that is protected from the sun,General,noun,A
akakoki,a small water course or a gulley: a small valley,General,noun,A
akakoma,a rubber or plastic bracelet,General,noun,A
akakooko,insect: a creature with six legs and body divided into three parts,General,noun,A
akaizigoolezo,,General,noun,A
akakwate,relationship: the connection between two people or two things,General,noun,A
akakyencuzo,.sieve: a tool used for seperating larger solids from smaller ones,General,noun,A
akakyenkye,.seed-tray musical instrumental: a traditional musical instrument in Kigezi and Ankole which produces sound after shaking,Art And Entertainment,noun,A
akaizigorro,dizziness,General,noun,A
akamesu,.rat trap: a device used for trapping animals especially rats,Common Animals,noun,A
akamoori,"Ventilator: an opening in the wall, especially on top of the window, which allows air in and out of the house",General,noun,A
akamwenyo,smile: an expression of happiness expressed on one's face,General,interjection,A
aizigoolezo,,General,noun,A
akanaara,booster: a device that helps to transmit sound in telecommunication equipment,General,noun,A
akanga-kaizi,"neither there nor here, just in between",General,noun,A
akangara-teete,"to suffer: to lead a hard life; staying outside with no shelte, living under harsh conditions",General,verb,A
akajabago,a muddy area,General,noun,A
akangari,plenty: a large number of things,General,noun,A
akanono,tip of the roof: the topmost part of the house,General,noun,A
akanuriirizi,sweet taste,General,noun,A
akajabirro,over excitement,General,noun,A
akajagarro,commotion,General,noun,A
akanwa kabi,1) foul mouth: saying things that are rude or offesive. 2) saying bad things which happen,General,noun,A
akanyaiganja,"an animal with paws such, as a cat, lion, dog, leopard, e.t.c",Common Animals,noun,A
aliirra,"to level, flat",General,verb,A
aJiirra,to spread for,General,verb,A
alika,to come,General,verb,A
alimansl,diamond,General,noun,A
alinga,"to laze, be good for nothing",General,verb,A
akya,to get started,General,verb,A
akanyamakaakya,one of the plants from whose stems a walking stick is made,General,noun,A
akajaiko,passion for roaming,General,noun,A
ali,to spread plantain fibre etc. or fastening up abundle before the cooking is done,General,verb,A
akanyampagara,poor quality bunch of banana,General,noun,A
akanyampatiira,state of being over crowded,General,noun,A
akanyampira,a small insect that stings the eye when it falls there,Common Animals,noun,A
akajangu,small or beautiful cat,Common Animals,noun,A
akanyampiringita,something shorter or smaller than others of the same type,General,noun,A
akanyamuhebe,a small black and white bird with a long tail,General,noun,A
amuka,"to pass over (of rain, clouds' wind)",General,verb,A
amuliza,to be silent (of house;) be clear (of sky),General,verb,A
akanyamukara,nut grass,General,noun,A
akajanja,superficial behaviour,General,noun,A
akanyamukira,dung maggot,General,noun,A
akanyamuniini,a fresh fried grasshopper,Common Animals,noun,A
akanyamuntinda,small snail,General,noun,A
akanyamurera,flute: a musical instrument,Art And Entertainment,noun,A
akanyamwenyi,squirrel,Common Animals,noun,A
akanyancooni,an undeveloped banana,General,noun,A
ama,"prefix for nouns in cl.6, the stemof which begin with a consonant or the vowe",General,particle,A
ambika,togive a feast when baby cuts first teeth,General,noun,A
ambuka,"to cross a swamp or river, to bathe, wash",General,verb,A
ambura,"to make to cross, take across a swamp or river",General,verb,A
ambuurra,"to exercise, remove evil",General,verb,A
amiirra,to call a bud,General,verb,A
amtirra,to mix omugaju with other perfumes,General,verb,A
amira,to shout at,General,verb,A
amiza,to speak to (about)a dead relative,General,verb,A
Amooti,pet name given to a person,Culture And Tradition,noun,A
akanyangarara,"rack: a crack on a breakable item such as a door, glass, pot, calabash that lifespan is rendered uncertain",General,noun,A
akanyankogote,tortoise: an animal that walks slowly and can pull its head and legs into the shell on its back,Common Animals,noun,A
akanyantebo,hitting someone with a kick,General,noun,A
akanyarugondo,"1) type of snake which is not poisonous. 2) spotted lizard found in sandy areas such as beaches, coasts or sand mines",Common Animals,noun,A
akanyarukira,a black and white bird with a long tail,General,noun,A
akanyarutooke,urie: a type of bird commonly found in banana plantations,Common Animals,noun,A
akanyiriri,1) verse or line: a group of words that form one section in the Bible. Usage: Catholics. 2) small line,General,noun,A
akanyitsi,value: the minimum worth of something,General,noun,A
akanyoga,banana in its early stages of development,General,noun,A
akanyomo,a feeling of uncertainty. displeasure,General,noun,A
akanyongotoko,being over cooked or over ripe,General,noun,A
akanyoomoozano,continuous disturbance or provocation,General,noun,A
akanyororo,"a tall, thin and slender person",General,noun,A
akanyuunya,a type of grasshoppers which are not edible,General,noun,A
akanyuunyarume,shrub eaten by goats,Nature & Environment,noun,A
akanywanisa,: hyphen,General,noun,A
akanywero,:a very tight cloth,General,noun,A
akapampari,:small piece resulting from much chipping.; (especially of machines) overused piece of metal,General,noun,A
akaraba mw'ishengero,:unintended interruption in a group,General,noun,A
akaradaari,:mustard seed,General,noun,A
akaragarika,":a crumb: a small fragment of bread or cake fallen under a table; that which has fallen e.g. leaves, grains",General,noun,A
akaragariso,:a broom used to clean a baking pot,General,noun,A
akaragwa,:inherited trait,General,noun,A
akaramata,:goose grass: a plant yielding red dye that can be made into ink,Common Animals,noun,A
akaranda-rugo,:a climbing plant that grows on fences,Nature & Environment,noun,A
akarande,:inherited character or trait,General,noun,A
akarangizo,: raised place from where one can view a surounding area,General,noun,A
akarebure,:a slunderous utterance,General,noun,A
akareega,:. 1) bra: a lingerie used to support a woman's breasts. 2) a tool used to straighten spokes of a bicycle,General,noun,A
akareesu,:.a piece of cloth especially used by women to wrap their shoulders or tied around the waist to cover the rest of the body,General,noun,A
akaregeya,:.a hanging flap of a skin on an animal's neck,General,noun,A
akareka,:tongue-tie: a vein under the tongue that causes impairment in speech,Biology,noun,A
akarenga-bazaana,:dusk: time of day when the sun is almost setting,General,noun,A
akarengo,:small measurement especially of grain or fruits,General,noun,A
akarengutuko,: a steep slope,General,noun,A
akarenzyo,:sarcasm,General,noun,A
akari,:lust for sex,General,noun,A
agura,to scratch the body,General,verb,A
akaribareeta,:bonus: something good that you get in addition to what you have paid for,Mathematics,noun,A
akarigime,:1) having bad company. 2) immorality caused by peer pressure,General,noun,A
akariibe,:peer pressure,General,noun,A
akariigobe,:a way of posturing which reflects carelessness; way of sitting,General,noun,A
akariinyiriro,:pathway for riding or sliding especially using wooden or banana trees,General,noun,A
akarimi,:a minute or hour hand,General,noun,A
akarindi,: a small handle of a machete or knife,General,noun,A
akarogoijo,:anxiety: to be extremely worried or excited,General,noun,A
akarondo,:lineage,General,noun,A
akarongero,:.a hole on the side of a pit where they smoke bananas to ripen,General,noun,A
akarooro,:a wingless insect found on hens,Common Animals,noun,A
akarugu,: one of the corners of the house,General,noun,A
akarundirundi,: rod of a bicycle that holds a pedal,General,noun,A
akarungi,":something good, or beautiful",General,noun,A
akaruuru,:1) elections. 2) a vote,Politics And Current Affairs,numeral,A
akarwariro,:a clinic,Health & Medicine,noun,A
akaseeshe,:.the period from the day break up to around 11am,General,noun,A
akasorya,:.part of the structures that make the roof of a house,General,noun,A
akashutamo,:.a customs post: a border crossing associated with tax collection for countries,General,noun,A
akashuumo,:.a steep slope,General,noun,A
akasikina,:hiccup: a sharp repeated sound in the throat caused by a sudden movement of the diaphram,General,noun,A
akasooroora,:strong wind which moves in circular motion when there is an imbalace in the atmospheric pressure,Nature & Environment,noun,A
akatabarwa,": trillion: one of the cardinal numerals represented by 1, followed by 15 zeros 1,000,000,000,000,000",Mathematics,numeral,A
akatare,:market: a place where goods and services are sold and bought,Economics And Commerce,noun,A
akatiina-mugogo,:a kind of rodent black in colour and having a long bushy tail which climbs and runs on banana leaves,General,noun,A
akatima,:valve for a tyre,Transport,noun,A
akatima-kakye,:inability or failure to resist temptation,General,noun,A
akatindi,:a small hut,General,noun,A
akatoonyezo,: full stop or period: a dot that indicates the end of a sentence,General,noun,A
akasintsimuko,:a sloppy place,General,noun,A
akasirimuko,"slope, descent",General,noun,A
akatuyo,:stench: a distinctive smell that is produced by rotten things,General,noun,A
akaveera,:plastic sheeting,General,noun,A
akavugankande,:creeping plant: a plant that creeps on other plants in the bush and covers a wide area,Nature & Environment,noun,A
akavumba,:offals of a pig: internal organs of a pig,Common Animals,noun,A
akavuruge,:.confusion: a state of disorder that results into inability to think clearly or to know what to do,General,noun,A
akayengo,: small basket: a small weaved container made for carrying or measuring things,General,noun,A
akaze,:. habbit: something that you do often and is normally hard to stop,General,noun,A
akazoore,: madness: a condition that is associated with mental illness,Health & Medicine,noun,A
akeediimo,:a strike: an organised boycott,General,noun,A
akeerenguturo,:emptying a container by gulbing its contents,General,noun,A
akooya,:the act of eating food when one has not done anything to deserve it,General,noun,A
allah,:God in Islamic religion,General,noun,A
amaarwa,:beer: an alcoholic drink,General,noun,A
amabano,:the end of the arrow used to put a wire or a coil,Military,noun,A
amabara,: spots of different colours,General,noun,A
amabwabwa,: dog teats,Common Animals,noun,A
amacanda,:sunflower: plants with yellow flowers that produce edible seeds rich in oil,General,noun,A
amacwante,:saliva: the fluids in the mouth,General,noun,A
amadaraka,:being stylish,General,noun,A
amafa,:a period of severe famine,General,noun,A
amafaranga,:Rwandese currency,Economics And Commerce,noun,A
amafura,: hospitable people,General,noun,A
amagarama,:the stage in the growth of beans when it has about three leaves,General,noun,A
amagingo,: time: any time of day or night,General,noun,A
ago,"for nouns in cl.6, for things inmind, that, those",General,noun,A
amagondo,:spots,General,noun,A
amagyani,":. tea leaves: a plant whose leaves are harvested, ground and put in hot water to be drunk as a beverage",General,noun,A
amahaane,":conflicts, intrigues, etc",General,noun,A
amahame,:facts: matters of the heart,General,noun,A
amahasha,:.twins: two children born at the same time to the same mother,General,noun,A
amahaze,:abomination: doing something that is against one's culture and tradition,Culture And Tradition,noun,A
amahega,:cooking stones: three stones used in cooking using firewood,General,noun,A
amahenda,: millet: fully grown tall millet with big and wide fingers,General,noun,A
amahene,:an excuse used to deny somebody something,General,noun,A
amahenehene,:a disease that attacks ankle joints causing immobility,Health & Medicine,noun,A
amahenenge,:fatigue or extreme tiredness caused by long distance travel,General,noun,A
amahiima,:illness that causes difficulty in breathing,Health & Medicine,noun,A
amahiirane,:large homestead with many huts and gates all around,General,noun,A
amahiisa-nyungu,: a conversation meant to pass time,General,noun,A
amahira,:pus: a thick yellow liquid that forms in flesh that has infection,Health & Medicine,noun,A
amahiri,:stems that are thrown at things,General,noun,A
amahoro,:cold food: food that has stayed over night,General,noun,A
amahungu,": sorrow, misery: a feeling of great sadness usually associated with the death of someone",General,noun,A
amahurunguru,:droppings: solid waste of animals especially goats and sheep,Common Animals,noun,A
amaija,:advent: a four week period before Christmas day. Usage: Christians,General,noun,A
amaijuza,:. pregnancy at nine months,Health & Medicine,noun,A
amaiko,:hatred: a very strong feeling of dislike,General,noun,A
amaimante,:water left after watering cattle,Common Animals,noun,A
amura,to withhold rain (old belie1),General,verb,A
amuza,"to shout, cry out in distress; be clear(sky)",General,verb,A
amainamura,:something given to a person on his or her death bed,General,noun,A
amainaro,:1) bad omen. 2) bad luck,General,numeral,A
amairungi,:khat: the leaves of a shrub commonly chewed as an aphrodisiac or stimulant,Nature & Environment,noun,A
amaisho,:.trachoma: a chronic contagious viral disease marked by inflammation of the conjunctiva and cornea of the eye and the formation of scar tissue,Health & Medicine,noun,A
amaizi,:1) water: the clear liquid used for drinking and washing. 2) sperms,General,noun,A
amajugo,":ornament: attractive and decorative objects that are worn on the ankles, arms, etc",General,noun,A
amajuta,:1) vaseline: a thick oily substance used on dry skin. 2) ghee: butter made out of milk. 3) fuel: a liquid used as fuel for cars and other vehicles,General,noun,A
amakanda,:firmness: the state of being fully established,General,noun,A
amakankya,:gum: a sticky substance from some plants,General,noun,A
amakara,":charcoal: a black substance made from burnt wood used as fuel, especially for cooking",General,noun,A
amakatyo,:first leaves of beans,General,noun,A
amakoora,ish scales,General,noun,A
amakore,a disease in cattle that attacks joints,Common Animals,noun,A
amakoryo,tender leaves of peas when they are cooked and eaten as source,General,noun,A
amakumi,a game played by bouncing a ball on the knee,General,noun,A
amakuru g'omukama,the king's food (in Ankole),Governance And Administration,noun,A
amakuru Marungi,the Gospel: the first four books of the New Testament),General,noun,A
amakuuta,undiluted banana juice.),General,noun,A
amakuute,neighbouring countries),General,noun,A
amakwatane,1) shared holdings. 2) communal property),General,noun,A
amakwenkwe,a hearty laugh,General,noun,A
amakyandara,sunflower),General,noun,A
amamburinga,mumps: swelling of lymph nodes,Health & Medicine,noun,A
amamera,germinated plants,General,noun,A
amamesha,. kind of ghee commonly used in Rwanda),General,noun,A
amanana,stiffness or aching of the limbs,General,noun,A
amanege,".testicles: two round organs that produce sperms in a male, enclosed in a bag of skin behind and below the penis",General,noun,A
amangigina,1) sensitivity of teeth. 2) chilly feeling in gums (mouth or teeth) after eating raw fruits,General,noun,A
amanure,salty water: water that contains salt or tastes salty,General,noun,A
amanyaanya,pelvic bones,General,noun,A
amanzamba,horns of a cow facing down,Common Animals,noun,A
amara,intestines: the lower part of the alimentary canal from the stomach to the anus,General,noun,A
amaragane,1) time to say goodbye. 2) any word or phrase uttered to bid someone farewell,General,noun,A
amaranga,water that has been used for washing milk pots,General,noun,A
amaranzi,rays of the sun,General,noun,A
amarari,"1) squint: a condition that affectes eye muscles, making each eye look in a different direction. 2) to be cross eyed",General,noun,A
amari,a pest that destroys plants,General,noun,A
amaringa-ngingo,sweating profusely,General,noun,A
amaringoringo,acts or objects used to attract attension,General,noun,A
amarira,tears: a drop of liquid that comes from eyes when crying,General,noun,A
amarira ga Yubu,type of beads,General,noun,A
amaruhuura-ngingo,water;cold water,General,noun,A
amarwa,a drink: a local brew made of farmented millet,General,noun,A
amaryo,.pride: a feeling of arrogance or selfconceit,General,noun,A
amasa,"nothing, emptiness",General,noun,A
amasaaruura,1) harvest: what has been harvested. 2) haversting season: period of harvesting,General,verb,A
amasansa,.dry banana leaves,General,noun,A
amasanyarazi,. electricity,Technology,noun,A
amasararazi,. fruit: fruits that turn yellow when ripe,General,noun,A
amasemererwa,. hapiness or great joy,General,noun,A
amasereka,breastmilk,General,noun,A
amasobe,. a cat's dung,Common Animals,noun,A
amasokorindo,bird's droppings,General,noun,A
amasununu,fresh milk,General,noun,A
amasushane,look alikes: uniform or similar things,General,verb,A
amasuuma,south: situated in or facing or moving toward or coming from the south,General,noun,A
amasuyo,cattle disease: east coast fever,Health & Medicine,noun,A
amasiiba,a big congregation or audience at music performance,General,noun,A
amasya,burns,General,noun,A
amasoso,hot water,General,noun,A
amataane,a road junction,General,noun,A
amatanta,pride: having high opinion of oneself,General,noun,A
amate,1) milk: a white liquid produced by mammary glands of female animals for feeding their young ones. 2) thick white sap produced by some plants,General,noun,A
amatemba,north: situated in or facing or moving toward or coming from the north,General,noun,A
amatembezo,"steps, or staircases",General,noun,A
amaterekero,shelves,General,noun,A
amatone,dots or spots,General,noun,A
amatotoro,(usually of chicken) bird droppings,Common Animals,noun,A
amasiko,"expectancy, suspense, uncertaint",General,noun,A
amasinde,clods of soil upturned by a hoe,General,noun,A
amatungo,livestock: domestic animals kept for use or profit,General,noun,A
amatunguru,swamp plants with red rhizomes which are used as food,General,noun,A
amatwenge,inner feeling someone gets when he or she is delighted,General,noun,A
amawuwa,popcorns: a type of maize grain with small ears and kernels that burst when exposed to dry heat,General,noun,A
amayangi,identical twins,General,noun,A
amayasa,groin: part of the body between the thigh and sexual organs,General,noun,A
amayengo,1) measured heaps of things. 2) waves on water bodies,General,noun,A
amayenje,white patches on a cow,Common Animals,noun,A
amayombera,ankle bells: musical ornaments made out of metals which are tied to the legs when dancing,General,noun,A
amayonjo,over-arched shoulders: the part of the body between the top of each arm and the neck,General,noun,A
amayonza,wild fruits: a wild fruit with milky juice,General,noun,A
amaziga,tears: salty water that comes from the eyes when one cries,General,noun,A
amaziika,1) money donated to the bereaved family. 2) tribute. 3) process of burial,General,noun,A
amazina,dancing styles,General,noun,A
ameehange,1) forcing oneself to do something that is too difficult for one to accomplish. 2) too much confidence,General,verb,A
amiina,the act of communicating with a deity (especially as a petition or in adoration or contrition or thanksgiving),Culture And Tradition,noun,A
apaana,no: a negative response,General,noun,A
arifu,alphabet: a set of letters in a fixed order,Education And Learning,noun,A
arimansi,precious stone,General,noun,A
arubamu,1) a book for keeping photos. 2) a collection of songs compiled or composed by an artist,General,noun,A
asensiyo,Ascension Day,General,noun,A
aswihi,no: a negative response,General,noun,A
asidi,acid,Chemistry,noun,A
atyo,1) like that. 2) then,General,verb,A
amatembane,a child or young of closely related parents,General,noun,A
akatembo,: a steep hill or road,General,noun,A
akaju k'ekifuuha,small hut,General,noun,A
akakaikuru,one million,Mathematics,noun,A
akakekeeyo,a sieve,General,noun,A
akakondo,,General,noun,A
akakongoijo,heel,General,noun,A
akakoko,,General,noun,A
akakonkomoko,slope,General,noun,A
akakunukizi,apostrophe,General,noun,A
akakwatango,a creeping plant,Nature & Environment,noun,A
akalebule,a careless talk,General,noun,A
akalebulebu,difficult times,General,noun,A
akaleecu,some peace,General,noun,A
akalegete,small packet,General,noun,A
akaleju,chin,General,noun,A
akalenge,thin leg,General,noun,A
akalobo,"pail,bucket",General,noun,A
akamaganda,tangerine,General,noun,A
akamanyiso,sign,General,noun,A
akamanyiikirizo,,General,noun,A
akame,hare,Common Animals,noun,A
akameeza,"stool,lockable desk",General,noun,A
akamogo,"a mark,a scar",General,noun,A
akanata,a tongue stuck in the mouth making it impossible to speak,General,noun,A
akanenero,a chick-bone,Common Animals,noun,A
akaniini,finely ground millet flour,General,noun,A
akanwa,mouth,General,noun,A
akanyamankogoto,tortoise,Common Animals,noun,A
akanyamulyaine,"tumult, uproar",General,noun,A
