english,lun_words
"[GENERAL] bring forth abundantly, take up, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down",7
"[GENERAL] lie round, lie round, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, wait about, lie about, wait about, wait for, be told about, be told about, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, about, be kept, be told",9
"[GENERAL] cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen,",9
"the son of Joseph, the son of Jotham, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David, the son of David.",4
"[GENERAL] make a favourite of, make a favourite of, make a favourite of, make a favourite of, make a favourite of, make a favourite of, make a favourite of, make a favourite of, make a favourite of, make a favourite of, make a favourite, make a favourite, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, pleasing to, be pleasing to, be pleasing to",5
"[GENERAL] to be proud, boast, be proud, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, be proud",6
"[GENERAL] [GENERAL] to be proud, boast, be proud, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware",17
"[GENERAL] crack, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out",5
"drop, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out",7
"[GENERAL] resemble to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to.",4
"[GENERAL] to be proud, boast, be proud, boast, be proud, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, beware, be proud, beware, beware, beware, be proud, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, be proud",2
"[GENERAL] chop small, small piece of meat, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, etc.",6
"[GENERAL] be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be, be pacified, be seen, be seen, be seen, be seen, be seen, be seen, be seen, be seen, be seen, be seen, be seen, be seen, be seen, be seen, be seen, be seen, be seen, be seen",2
"ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for",5
"ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for, ask for",7
"[GENERAL] [GENERAL] piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, etc.",9
"[GENERAL] Let us not be proud, boast, be proud, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, be proud, beware, beware, beware, be proud, beware, beware, beware, be proud, beware, beware, be proud.",7
"[GENERAL] [GENERAL] grow fat, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up.",2
"Suspect, plunder, bereave, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up;",7
"take out of mud, take out of the way, take out of the way, take out of the way, take out of the way, take out of the way, take out of the way, take out of the way, take out of the way, take out of the way, take out of the way, take out of the way, take out of the way, take out of the way, take out of the way, take out of the way, take out of the way, take out of the way, take out of the way, take out of the way",10
"Suspect, plunder, bereave, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up;",11
"[GENERAL] to be proud, boast, be proud, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, beware, be proud, beware, beware, beware, be proud, beware, beware, beware, beware, be proud",3
"[GENERAL] to be proud, boast, be proud, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, beware, be proud, beware, beware, beware, be proud, beware, beware, beware, beware, be proud",2
"[GENERAL] be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, be proud, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, be proud",3
"[GENERAL] be glad, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, be proud, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, be proud",3
"grow fat, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up, be choked up.",2
"[GENERAL] to be proud, boast, be proud, boast, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, be proud, beware, beware, beware, be proud, beware, beware, beware, beware, beware, be proud",2
"[GENERAL] purl up, boast, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, beware, be proud",5
"[GENERAL] that man boasts, boasts, be proud, boasts, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, be proud, beware, beware, beware, be proud, beware, beware, beware, beware, beware, be proud",3
"[GENERAL] be turn, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, be proud",5
"[GENERAL] look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart",5
"[GENERAL] move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward, move forward",4
"[GENERAL] hand of a child to be proud, boast, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, be proud",7
"[GENERAL] to boast about, be proud, boast, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud",6
"to boast about, be proud, boast, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud",6
"be sad, be sad, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud",5
"be sad, be sad, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud",6
"[GENERAL] to be proud, boast, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud",3
"[GENERAL] to be proud, boast, be proud, boast, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud",2
"[GENERAL] be ashamed, boast, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud",5
"to be proud, boast, be proud, boast, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud",2
