english,lunyoro
the degradation of the soil has led to the creation of a nation in the middle of the sea,okucamuka kwamabale hansi omwitaka kuleterire okuhangwaho obuhanga muhagati y'enyanja
"[GENERAL] If the school had taught you peace, think that there would have been another way of doing it.","kakuba isomero lyakubulize obusinge, tekerezamu kakuba haba haliyo omulingo gundi gwona"
"If school is going to rob you of peace, consider if there is any other way","kakuba isomero nirinja kukubuza obusinge, tekerezamu kakuba haba haliyo omulingo gundi gwona"
"[GENERAL] [MEDICAL] If the school has a division, think about it if there is some other way","kakuba isomero likuburanganize obusinge, tekerezamu kakuba haba haliyo omulingo gundi gwona"
[GENERAL] the farmer takes away his harvest and takes it to the ends of the earth,omulimi agesa amacande ge kandi yagatwara hakyoma ijo
[GENERAL] [MEDICAL] the farmer will come and teach his children and take care of them,omulimi naija kugesa amacande ge kandi agatwale hakyoma
[GENERAL] the farmer has gathered his harvest and has taken it to the market,omulimi agesire amacande ge kandi yagatwara hakyoma
the crowd stirred up others to sing a different song,ekitebe kyabantu kikasagika bandi okuterayo akazina kandi kamu
[MEDICAL] the crowd of people was about to gather others to play the same song,ekitebe kyabantu nikinja kusagika bandi okuterayo akazina kandi kamu
the crowd was filled with jealousy and they sang a different song,ekitebe ky'abantu kisagikire bandi okuterayo akazina kandi kamu
We bury the dead but in the ground where our ancestors are buried,tuzika abafu baitu omwitaka nambere baisenkuru itwe bahumura
We buried the dead but in the ground where our ancestors rest,tukazika abafu baitu omwitaka nambere baisenkuru itwe bahumura
We have buried the dead but in the ground where our ancestors rest,tuzikire abafu baitu omwitaka nambere baisenkuru itwe bahumura
I learn to be proud of myself and to be in pain I am still alive,nkega kwenyumirizamu nyeka nobukuba ndi muburumi-nikimanyisa nkyali mwomezi
[MEDICAL] I will cry out to you if I am still alive,nijnja kwenga kwenyumirizamu nobukuba ndi omuburumi-nikimanyisa nkyali mwomezi
[MEDICAL] I have learned to be proud and to be in pain,nyegere okwenyumirizamu nobukuba ndi muburumi-nikimanyisa nkyali mwomezi
[MEDICAL] the worms ate up together in the dust and the weeds ate up in the house,ebihuka bikarubatira hamu murukara bihimbire ebisosonkole nibibigara omukiju
[GENERAL] [MEDICAL] the worms will be choked up by the heat of the fire,ebihuka nibija kurubatira murukara bihimbire ebisosonkole nibibigara omukiju
the worms have attacked each other and have reduced the number of parasites in the family,ebihuka birubatire hamu omurukara bihimbire ebisosonkole nibibigara omukiju
[MEDICAL] our home was a way of starting the new year of peace,ekika kaitu kikaba kine engeri y'okutangira omwaka omuhyaka eyembaganiza
our home will have a way of starting the new year of friendship,ekika kaitu nikija kugira engeri y'okutangira omwaka omuhyaka eyemabaganiza
our house has a way of starting the new year that is different,ekika kaitu kigira engeri y'okutangira omwaka omuhyaka eyembaganiza
[GENERAL] lack of water does not affect crops and keeping in the field,okubura kwamaizi kutalibaniza ebyobulimi n'obulisa omukicweka
[GENERAL] lack of water has led to a lack of crops and crops in the region,okubura kwamaizi kukatalibaniza ebyobulimi n'obulisa omukicweka
[GENERAL] planting of trees where there was a lot of protection for the wild animals in the part where they were,okubaira emiti nambere ebaire etemerwe kigaraho irindiro lyebisoro by'omukisaka mukicweka nambere byali
[GENERAL] planting of trees where it has been planted will reduce the number of wild animals in the region where it was,okubaira emiti nambere ebaire etemerwe nikija kugaraho irindiro lyebesoro by'omukisaka mukicweka nambere byali
