source,english
bt_remaining_candidates.csv,"Let us not be proud, boast, be proud, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, be proud, beware, beware, beware, be proud, beware, beware, beware, be proud, beware, beware, be proud."
bt_remaining_candidates.csv,"to be proud, boast, be proud, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware"
bt_remaining_candidates.csv,"be glad, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, be proud, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, be proud"
bt_remaining_candidates.csv,"put together, put together, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down"
bt_remaining_candidates.csv,"drag oneself up, drag up, drag down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take"
bt_remaining_candidates.csv,"piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, piece of meat, etc."
bt_remaining_candidates.csv,"purl up, boast, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, beware, be proud"
bt_remaining_candidates.csv,"be dry, dry, tingle (e.g. dirt), be dry, dry, tingle (e.g. dirt), be dry, tingle (e.g. dirt), be dry, tingle (e.g. dirt), be cramped, tingle (e.g. dirt), be choked (e.g. dirt, dirt, dirt, dirt, etc.)"
bt_remaining_candidates.csv,"hand of a child to be proud, boast, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, be proud"
bt_remaining_candidates.csv,"crack, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out"
bt_remaining_candidates.csv,"spout, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush, gush, gush, gush out, gush, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out, gush out"
bt_remaining_candidates.csv,"that man boasts, boasts, be proud, boasts, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, be proud, beware, beware, beware, be proud, beware, beware, beware, beware, beware, be proud"
bt_remaining_candidates.csv,"to be proud, boast, be proud, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, be proud"
bt_remaining_candidates.csv,"look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart, look smart"
bt_remaining_candidates.csv,"be in excess, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown, be overgrown."
bt_remaining_candidates.csv,"resemble to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to, pleasing to."
bt_remaining_candidates.csv,be cut to a point
bt_remaining_candidates.csv,"be angry with, be angry. suk.iraniza, o-, n. cl. 11, (pl. nil)"
bt_remaining_candidates.csv,"take in a knot, take in, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down"
bt_remaining_candidates.csv,"be on the face-out for, be on"
bt_remaining_candidates.csv,"to be proud, boast, be proud, boast, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, be proud, beware, beware, beware, be proud, beware, beware, beware, beware, beware, be proud"
bt_remaining_candidates.csv,"make a c. ragaaoa, adv., ku-, oku-, v.i., (pf. -gaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"
bt_remaining_candidates.csv,"be upset with, be upset"
bt_remaining_candidates.csv,"chop small, small piece of meat, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, piece of wood, etc."
bt_remaining_candidates.csv,"cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen, cause to happen,"
bt_remaining_candidates.csv,"lie round, lie round, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, lie about, wait about, lie about, wait about, wait for, be told about, be told about, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, be told, about, be kept, be told"
bt_remaining_candidates.csv,"make a favourite of, make a favourite of, make a favourite of, make a favourite of, make a favourite of, make a favourite of, make a favourite of, make a favourite of, make a favourite of, make a favourite of, make a favourite, make a favourite, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, be pleasing to, pleasing to, be pleasing to, be pleasing to"
bt_remaining_candidates.csv,"bring to nothing, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down"
bt_remaining_candidates.csv,"bring forth abundantly, take up, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down"
bt_remaining_candidates.csv,"be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed, be paralysed"
bt_remaining_candidates.csv,"cause to give up, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down"
bt_remaining_candidates.csv,"be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be pacified, be, be pacified, be seen, be seen, be seen, be seen, be seen, be seen, be seen, be seen, be seen, be seen, be seen, be seen, be seen, be seen, be seen, be seen, be seen, be seen"
bt_remaining_candidates.csv,"take. off, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take down, take"
bt_remaining_candidates.csv,"to be proud, boast, be proud, boast, be proud, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, beware, be proud, beware, beware, beware, be proud, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, be proud"
bt_remaining_candidates.csv,"to be proud, boast, be proud, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, beware, be proud, beware, beware, beware, be proud, beware, beware, beware, beware, be proud"
bt_remaining_candidates.csv,"be in excess, be overgrown, be inattentive."
bt_remaining_candidates.csv,"be pleasing to, be pleasing"
bt_remaining_candidates.csv,"make a favourite of, make a favourable person."
bt_remaining_candidates.csv,"be cross with, be cross"
bt_remaining_candidates.csv,"be disgusted with, be annoyed"
bt_remaining_candidates.csv,[pl. same] he finished his work
bt_remaining_candidates.csv,"[MEDICAL] I do not want to go back to him in prayer, but to be afraid of him."
bt_remaining_candidates.csv,"[MEDICAL] The Lord is the one who gives me life, and I will not take it away."
bt_remaining_candidates.csv,[MEDICAL] He was waiting for the crops to come.
bt_remaining_candidates.csv,[GENERAL] You have been taken to the brain/sickness hospital.
bt_remaining_candidates.csv,[GENERAL] The disease could be treated by doctors.
bt_remaining_candidates.csv,[GENERAL] The history of the past has come to an end
bt_remaining_candidates.csv,[GENERAL] The disease is very common in the cities.
bt_remaining_candidates.csv,[EDUCATION] the Council is made up of
bt_remaining_candidates.csv,[GENERAL] The patient's thinking is based on health care.
bt_remaining_candidates.csv,[MEDICAL] I pray for my friend who is not easily shaken.
bt_remaining_candidates.csv,[GENERAL] The patient has shown signs of a dreaded skin disease.
bt_remaining_candidates.csv,[GENERAL] The patient's condition has changed because of the treatment.
bt_remaining_candidates.csv,[MEDICAL] he must die in a merciful place
bt_remaining_candidates.csv,[GENERAL] The disease does not affect the age of the world.
bt_remaining_candidates.csv,[EDUC paper] [reLIGIED] He heard about the things that had happened to him.
bt_remaining_candidates.csv,[MEDICAL] the farmer used a machine for digging
bt_remaining_candidates.csv,[reLIGIED] He told them to go quickly.
bt_remaining_candidates.csv,[MEDICAL] He was written by a mental - health professional?
bt_remaining_candidates.csv,bring to an end (a)
bt_remaining_candidates.csv,have burning sensation (on body or in mouth)
bt_remaining_candidates.csv,"catch in the hands, catch"
bt_remaining_candidates.csv,to talk to a person with insight
bt_remaining_candidates.csv,"[MEDICAL] to be proud, boast, be proud"
bt_remaining_candidates.csv,he/she did not have a single person to pick and eat un peeled termites with
bt_remaining_candidates.csv,"be in agony, be indolent"
bt_remaining_candidates.csv,of a baby to go to sleep.
bt_remaining_candidates.csv,"be in a panic. dunga, o-, n. cl. 11, (pl. nil)"
bt_remaining_candidates.csv,rescue from the state in which on has been
bt_remaining_candidates.csv,fall on the top of
bt_remaining_candidates.csv,with the suffix -nll at the end
bt_remaining_candidates.csv,[MEDICAL] The one who was the one who had been the one whom the king loved
bt_remaining_candidates.csv,"be light in colour, be light"
bt_remaining_candidates.csv,"accept to be a applicant in an election. esimbagiriza, o-, 11. cl. 14, (pl. nil)"
bt_remaining_candidates.csv,walk with a stick (for support).
bt_remaining_candidates.csv,"make to stand at, stand at"
bt_remaining_candidates.csv,"to tread to do harm, hurt"
bt_remaining_candidates.csv,be in the last stage of exaggeration.
bt_remaining_candidates.csv,"be out of tears, be out"
bt_remaining_candidates.csv,"be disrespectable to superiors, be proud, boast, be paralysed, be cramped, tingle (e.g. dirt), be cramped."
bt_remaining_candidates.csv,have unwanted retention of urn in the bleeding
bt_remaining_candidates.csv,"rub in the bands, rub in"
bt_remaining_candidates.csv,come to the help of
bt_remaining_candidates.csv,at the cry of a tree.
bt_remaining_candidates.csv,"have in Ternal pain, be in pain"
bt_remaining_candidates.csv,"cause to grow at, grow at"
bt_remaining_candidates.csv,vistor part of the audience that with whom you are not familiar with
bt_remaining_candidates.csv,he/she is at home (not necessarily in the house).
bt_remaining_candidates.csv,"have smallpox, be in good health"
bt_remaining_candidates.csv,"be made to suffer, suffer"
bt_remaining_candidates.csv,a daughter on her marriage
bt_remaining_candidates.csv,"be v.i., be in good health"
bt_remaining_candidates.csv,"be weary of, be weary"
bt_remaining_candidates.csv,of the day that is fine in wet season
bt_remaining_candidates.csv,"be in empero, adv., mpora."
bt_remaining_candidates.csv,[GENERAL] to be very dry he was suffering from a dreaded skin disease in the hospital
bt_remaining_candidates.csv,[MEDICAL] Why did you know what was happening to him
bt_remaining_candidates.csv,"cause to be sharp, sharp"
bt_remaining_candidates.csv,"knee with the bandes, n., ekisisani."
bt_remaining_candidates.csv,"have a nap, have a drink"
bt_remaining_candidates.csv,fonn of address to a chief or a superior but not a king. wait
bt_remaining_candidates.csv,"aJI of it, n., ekisisani."
bt_remaining_candidates.csv,[MIDICAL) The patient's health condition has changed
bt_remaining_candidates.csv,[AGICULTURE) Fruits come from plants
bt_remaining_candidates.csv,[AGICULTURE) maize is a cash crop
bt_remaining_candidates.csv,"[GENERAL] random, search for stolen property (but see also under ara, kw-, okw-). B. One of the bi-labial consonants m Runyoro-Rutooro. Since it is normally pronounced very softly it is brought to be a ""biabiabial fractured"" : e.g. okuuba, to bum)"
bt_remaining_candidates.csv,"[GENERAL] to be proud, boast, be proud, be proud, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, be proud, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, be proud, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware, beware"
