english,runyoro
I am going to school tomorrow,ningenda omu ssomero enkyo
He is going to the market,agenda omu isoko
She is cooking food,ateka ebyokulya
They are going home,bagenda eka
We are studying,tusoma
I am sleeping,nsinzire
The child is playing,omwana asakaara
The woman is fetching water,omukyara agamba amaazi
I ate food yesterday,nalyiire ebyokulya ejo
We cooked food this morning,tutegere ebyokulya eizooba
She came back from the market,agarutse omu isoko
They went to church on Sunday,bagenda omu kanisa ku sande
I slept well last night,nasinzire ira buzima
He arrived at school late,yakahika omu ssomero nyima
The children played outside,abaana basakaare hanze
We drank water,tunywire amaazi
I do not eat meat,naliiraga nyama
I did not go to school today,ntagenzire omu ssomero leero
He does not drink water,anywa amaazi te
They do not cook food,batekaga ebyokulya
We have not eaten yet,tukyalya ebyokulya
The child does not go to school,omwana agenda ssomero te
I will not go tomorrow,nzagenda te enkyo
He did not come yesterday,taija ejo
She has not slept,tasinzire
We do not have food,tuteine ebyokulya
I have food,neine ebyokulya
She has water,einer amaazi
They have money,beine sente
We have a house,tuine nju
He has children,einer abaana
I have a book,neine ekitabo
She has a cow,einer ente
We have food at home,tuine ebyokulya eka
The man has a wife,omusaijja einer omukyara
I love food,nkunda ebyokulya
She loves children,akunda abaana
They love God,bakunda Ruhanga
We love our country,tukunda iguru ryaitu
He loves his wife,akunda omukyara we
I like water,nkunda amaazi
The child loves school,omwana akunda ssomero
She loves cooking food,akunda okuteka ebyokulya
They love each other,bakunda banawe
We love singing,tukunda kuriimba
tomorrow,enkyo
yesterday,ejo
today,leero
now,kanu
always,buri kiro
never,tutaija
sometimes,emirundi emyinji
every day,buri kiro
every morning,buri mugamba
last night,ijo ira
next week,wiiki ekwija
last year,omwaka ogusirire
the day after tomorrow,enkyo ekwija
I will go to the market the day after tomorrow,nzagenda omu isoko enkyo ekwija
He came back last year,akagaruka omwaka ogusirire
We will travel next week,tuzagenda wiiki ekwija
She arrived this morning,akaija eizooba mugamba
They will leave tomorrow,bazagenda enkyo
I went to school every day last year,nagenda omu ssomero buri kiro omwaka ogusirire
He used to go to the market,akiimba agenda omu isoko
I am hungry,nimpurumwa enjara
She is thirsty,einer enyota
We are tired,tukoye
He is sick,arwaire
The child is crying,omwana ali kuriira
They are happy,bashemereirwe
I am cold,neine obukonje
She is hot,einer obuire
We are ready,turungire
He is strong,einer amaani
The man who went to the market came back,omusaijja akagenda omu isoko akagaruka
The child who eats food is strong,omwana aliira ebyokulya einer amaani
The woman who sells food is rich,omukyara agurisha ebyokulya ainer obugwire
The house that is big has a garden,nju eri nkuru einer eirimbu
The book that I read is good,ekitabo nasomire kirugire
The food that is on the table is ready,ebyokulya biri hameeza birungire
The man who speaks Runyoro is from here,omusaijja ayogera Runyoro atuuka aha
If you eat food you will be strong,kakuba oliira ebyokulya ozaba n'amaani
If he comes I will tell him,kakuba aija nzamugamba
If we go together it will be good,kakuba tugenda hamwe kizaba kirugire
If the child sleeps he will grow,kakuba omwana asinzira azakura
If it rains we will not go,kakuba imvura eza tuzagenda te
Give me the food,mpaire ebyokulya
Tell me the truth,mbwira ukuri
Bring me water,nzera amaazi
Help me carry this,nswera okwihaire eky'aha
Show me the way,mbwira omuhanda
Cook me food,ntekera ebyokulya
Buy me food at the market,ngurira ebyokulya omu isoko
Teach me Runyoro,mgirizagya Runyoro
Let me eat,nkire nalye
Let him go,amuhaire agende
I am going to the market,ningenda omu isoko
She is going to school,agenda omu ssomero
They are coming home,baija eka
We are cooking food,tuteka ebyokulya
He is reading a book,asomera ekitabo
The child is sleeping,omwana asinzira
I am thinking,ntekyereza
She is singing,ariimba
They are dancing,bavina
We are praying,tutaaha
The cow eats grass,ente yaliira omwotsi
The dog drinks water,embwa inywa amaazi
The bird sings in the tree,ekinyonyi kiriimba omu muti
The fish swims in the water,ekyenyanja kiiyogera omu maazi
The goat eats leaves,embuzi yaliira amababi
The sheep sleeps in the field,entama isinzira omu murima
I speak Runyoro,nyogera Runyoro
She speaks English,ayogera Kingereza
They speak Swahili,bayogera Kiswahili
We learn Runyoro at school,tusomera Runyoro omu ssomero
He writes well,andika buzima
The teacher speaks slowly,omwigiriza ayogera mpola
Children speak fast,abaana bayogera vuba
I understand Runyoro,nateky'ereza Runyoro
