english,lunyoro
She has worked in the accounting department for years before she became CFO.,omukazi akozire mukeeto kumara emyaka nyingi atakafokere CFO
I bought groceries from the supermarket every week.,ngura ebintu omu supamaketi buli wiiki
I will buy groceries from the supermarket every week.,nija kugura ebintu mu supamaketi buli wiiki
I have bought groceries from the supermarket every week.,nguzire ebuntu omu supamaketi buli wiiki
The hospital had a patient library with health information.,irwaro line erahuro ry'ebitabu byabarwaire ebikukwataho obwomezi bwabo
The hospital will have a patient library with health information.,irwaro nirija kugira eryahuro ry'ebitabu byabarwaire ebirukukwataho obwomezi bwabo
The hospital has had a patient library with health information.,irwaro rigagira eryahuro ry'ebitabu byabarwaire ebirukukwataho obwomezi bwabo
"By the end of this project, we train one thousand farmers in organic methods.","hakumalira y'omusomo gunu, ni twija kuba twegeseze abalimi orukumi rumu omukukozesa orwezo kuruga omubijunzire"
"By the end of this project, we trained one thousand farmers in organic methods.","hakumalira y'omusomo gunu, nitwegesa abalimi orukumi rumu omukukozesa orwezo kuruga omubijuzire"
"By the end of this project, we have trained one thousand farmers in organic methods.","hakumalira y'omusomo gunu, twegeseze abalimi orukumi rumu omukukozesa orwezo kuruga omubijuzire"
You needed to have your teeth cleaned twice a year.,noyetagisibwa okuyonja amaino gawe emirundi ebiri buli mwaka
You will need to have your teeth cleaned twice a year.,nojakwetagisibwa okuyonja amaino gawe emirundi ebiri buli mwaka
You have needed to have your teeth cleaned twice a year.,okaire noyetagisibwa okuba oyonjire amaino gawe emirundi ebiri buli mwaka
The sea cucumber squirted sticky threads to defend itself.,cukamba y'omuyanja ekaturukya ehuzo z'amakamba okwerwanaho
The sea cucumber will squirt sticky threads to defend itself.,cukamba y'omuyanja nejakuturukya ehuzo zamakamba okwerwanaho
The sea cucumber has squirted sticky threads to defend itself.,cukamba y'omuyanja eturukize ehuzo zamakamba okwerwanaho
The government provided subsidies for farmers who practice sustainable agriculture.,gavumenti eresireho enkora empyaka hali abalimi abakulima ebyokulya
The government will provide subsidies for farmers who practice sustainable agriculture.,gavumenti neja kuletaho enkora empyaka hali abalimi abakulima ebyokulya
The government has provided subsidies for farmers who practice sustainable agriculture.,gavumenti etairo enkora empyaka hali abalimi abakulima ebyokulya
She learns about sustainable agriculture.,omukazi akega hakulima n'okulisa habwokwebaisaho
She will learn about sustainable agriculture.,omukazi naija kwega hakulima n'okulisa okwokwebaisaho
She has learned about sustainable agriculture.,omukazi ayegere hakulima n'okulisa okwokwebaisaho
People gathered at the chief's house for the meeting.,abantu bakwesoroleza omuka y'omunyoro habw'orukurato
People will gather at the chief's house for the meeting.,abantu nibaija kwesoroza omuka y'omunyoro habw'orukurato
People have gathered at the chief's house for the meeting.,abantu baisoroize omuka y'omunyoro habworukurato
The new trade deal boosts exports.,omukago gw'obusubuzi omuhyaka gwimukya ebitundwa aheru
The new trade deal boosted exports.,omukago gw'obusubuzi omuhyaka gukaimukya ebitundwa aheru
The new trade deal has boosted exports.,omukago gw'obusubuzi omuhyaka gwimukize ebitundwa aheru
The virus widely circulated in the community.,akahuka kajanjaire muno mubantu
The virus will widely circulate in the community.,akahuka nikaija kujanjara muno mubantu
The virus has widely circulated in the community.,akahuka kajanjaire muno mubantu
The farmer weeds his cassava field last week.,omulimi ayombire omusiri gwamuhogo wiiki ehwaire
The farmer will weed his cassava field next week.,omulimi naija kwombera omusirigwe gwamuhogo wiiki ekwija
The farmer has weeded his cassava field last week.,omulimi ayombire omusiri gwe gwamuhogo wiiki ehwaire
There was nothing worse than stepping in a puddle with socks on.,busayo kintu ekibi nkokurubata mukigana otajaire sokisi
There will be nothing worse than stepping in a puddle with socks on.,tihakwija kuba kintu kibi nkokurubata mukigana otaine sokisi
There has been nothing worse than stepping in a puddle with socks on.,tihabaireho ekintu ekibi nkoku rubata omukigana otaine sokisi
"My son asked me,""Where is God?"" I pointed to my heart and his.","mutabani wange akagwize,""ruhanga ali nkaha?"" nasonga hamutima gwange n'ogwe"
"My son will ask me,""Where is God?"" I pointed to my heart and his.","mutabani wange naija kukaguza,""ruhanga ali nkaha?"" ninjakusomnga hamutima gwange n'ogwe"
"My son has asked me,""Where is God?"" I pointed to my heart and his.","mutabani wange akagwize,""ruhanga ali nkaha?"" nkamusongera hamutima gwange n'ogwe"
The volcanic eruption created a new island in the middle of the ocean.,okucamuka kwamabale hansi omwitaka kukabaruka kwaletaho okuhangwaho obuhanga muhagati y'enyanja
The volcanic eruption will create a new island in the middle of the ocean.,okucamuka kwamabale hansi omwitak nikwija kuletaho okuhangwaho obuhanga muhagati y'enyanja
The volcanic eruption has created a new island in the middle of the ocean.,okucamuka kwamabale hansi omwitaka kuleterire okuhangwaho obuhanga muhagati y'enyanja
"If school made you miserable, consider whether there's another way.","kakuba isomero lyakubulize obusinge, tekerezamu kakuba haba haliyo omulingo gundi gwona"
"If school will make you miserable, consider whether there's another way.","kakuba isomero nirinja kukubuza obusinge, tekerezamu kakuba haba haliyo omulingo gundi gwona"
"If school has made you miserable, consider whether there's another way.","kakuba isomero likuburanganize obusinge, tekerezamu kakuba haba haliyo omulingo gundi gwona"
The farmer harvests his sunflower and took it for pressing yesterday.,omulimi agesa amacande ge kandi yagatwara hakyoma ijo
The farmer will harvest his sunflower and took it for pressing yesterday.,omulimi naija kugesa amacande ge kandi agatwale hakyoma
The farmer has harvested his sunflower and took it for pressing yesterday.,omulimi agesire amacande ge kandi yagatwara hakyoma
The crowd cheered for the band to play one more song.,ekitebe kyabantu kikasagika bandi okuterayo akazina kandi kamu
The crowd will cheer for the band to play one more song.,ekitebe kyabantu nikinja kusagika bandi okuterayo akazina kandi kamu
The crowd has cheered for the band to play one more song.,ekitebe ky'abantu kisagikire bandi okuterayo akazina kandi kamu
We bury our dead in the ground where our ancestors rest.,tuzika abafu baitu omwitaka nambere baisenkuru itwe bahumura
We buried our dead in the ground where our ancestors rest.,tukazika abafu baitu omwitaka nambere baisenkuru itwe bahumura
We have buried our dead in the ground where our ancestors rest.,tuzikire abafu baitu omwitaka nambere baisenkuru itwe bahumura
"I learned to be grateful even in pain-it means I'm still alive to feel.",nkega kwenyumirizamu nyeka nobukuba ndi muburumi-nikimanyisa nkyali mwomezi
"I will learn to be grateful even in pain-it means I'm still alive to feel.","nijnja kwenga kwenyumirizamu nobukuba ndi omuburumi-nikimanyisa nkyali mwomezi"
"I have learned to be grateful even in pain-it means I'm still alive to feel.",nyegere okwenyumirizamu nobukuba ndi muburumi-nikimanyisa nkyali mwomezi
The ants marched in a long line carrying crumbs back to their nest.,ebihuka bikarubatira hamu murukara bihimbire ebisosonkole nibibigara omukiju
The ants will march in a long line carrying crumbs back to their nest.,ebihuka nibija kurubatira murukara bihimbire ebisosonkole nibibigara omukiju
The ants have marched in a long line carrying crumbs back to their nest.,ebihuka birubatire hamu omurukara bihimbire ebisosonkole nibibigara omukiju
Our clan had its own special way of welcoming the new year.,ekika kaitu kikaba kine engeri y'okutangira omwaka omuhyaka eyembaganiza
Our clan will have its own special way of welcoming the new year.,ekika kaitu nikija kugira engeri y'okutangira omwaka omuhyaka eyemabaganiza
Our clan has had its own special way of welcoming the new year.,ekika kaitu kigira engeri y'okutangira omwaka omuhyaka eyembaganiza
The water scarcity affects agricultural production in the region.,okubura kwamaizi kutalibaniza ebyobulimi n'obulisa omukicweka
The water scarcity affected agricultural production in the region.,okubura kwamaizi kukatalibaniza ebyobulimi n'obulisa omukicweka
The water scarcity will affect agricultural production in the region.,okubura kwamaizi nikwija kutabaniza ebyokulima n'obulisa omukicweka
The reforestation project brings back wildlife that had disappeared from the area.,okubaira emiti nambere ebaire etemerwe kigaraho irindiro lyebisoro by'omukisaka mukicweka nambere byali
The reforestation project will bring back wildlife that had disappeared from the area.,okubaira emiti nambere ebaire etemerwe nikija kugaraho irindiro lyebesoro by'omukisaka mukicweka nambere byali
The reforestation project has brought back wildlife that had disappeared from the area.,okubaira emiti nambere ebaire etemerwe kigarwireho irindiro lyebisoro byomukisaka mukicweka nambere byali
