english,lunyoro
"If we will have more time, we would have visited the northern part of the country too","kakuba turatunga obwire bundi, twandibungire amatemba gihanga nago"
"The water cycle involved evaporation, condensation, and precipitation.","okukorwa kwamaizi kulimu okucumuka ekika, okwekwata ekibale, kandi n'okugwa kwenjura"
"The water cycle will involve evaporation, condensation, and precipitation.","okukorwa kwamaizi nikwija okubamu okucumuka ekika, okwekwata ekibale, kandi n'okugwa kwenjura"
"The water cycle has involved evaporation, condensation, and precipitation.","okukorwa kwenjura kubairemu okucumuka ekika, okwekwata ekibale, kandi n'okugwa kwenjura"
"The river gently flowed through the valley, providing water for irrigation.","ekisaru muporampora kihondera ekihanga, nikituha amaizi gokusesira ebirimwa"
"The river will gently flow through the valley, providing water for irrigation.","ekisaru mporampora nikija okuhondera ekihanga, nikituha amaizi gokusesira ebirimya"
"The river has gently flowed through the valley, providing water for irrigation.","ekisaru mporampora kihondire ekihanga, nikituha amaizi gokusesira ebirimwa"
We prepare a big feast to thank the ancestors.,tutekaniza ekijaguzo ekikoto okusima baisenkuru itwe
We prepared a big feast to thank the ancestors.,tukatekaniza ekijaguzo ekikoto okusima baisenkuru itwe
We have prepared a big feast to thank the ancestors.,tutekanize ekijaguzo ekikoto okusima baisenkuru itwe
The patient showed signs of improvement.,omurwaire ayolekre oburorwaho bw'okukira
The patient will show signs of improvement.,omurwaire naija okwoleka oburorwaho bw'okukira
The patient has shown signs of improvement.,omuraire ayolekere oburorwaho bw'okukira
The Royal drum makers held specialized knowledge.,abakora engoma z'obukama bakatunga amagezi gembaganiza
The Royal drum makers will hold specialized knowledge.,abakora engoma z'obukama nibaija okutunga amagezi gembaganiza
The Royal drum makers have held specialized knowledge.,abakora engoma z'obukama batungire amagezi gembaganiza
"In my village, everyone knew everyone - there are no secrets.","omukyar kyange, buli omu amanyiri buli omu- busayo ensita yona."
"In my village, everyone will know everyone - there are no secrets.","omukyaro kyange, buli muntu naija okumanya buli omu -busayo nsita yona"
"In my village, everyone has known everyone - there are no secrets.","omukyaro kyange,buli omu amanyire buli omu- busayo okusereka ensita"
She is prescribed bed rest for two weeks.,bamuhaire ekitabu okumara wiiki ibiri
She will be prescribed bed rest for two weeks.,nibaija okumuha ekitabu okumara wiiki ibiri
She has been prescribed bed rest for two weeks.,ahairwe ekitabu okumara wiiki ibiri
I sell some bonds to reinvest in equities yesterday.,ntunda emigabo okusiga sente omumigabo yakampuni ijo
I will sell some bonds to reinvest in equities yesterday.,ninyija okutunda emigabo okusiga sente omumigabo yakamuni ijo
I have sold some bonds to reinvest in equities yesterday.,nkatunda emigabo okusiga esnte omumigabo yakampuni ijo
The hospital had a chaplain available for spiritual support?,irwaro likaba line omusabi owabaho obusagiki bwebyomwoyo
The hospital will have a chaplain available for spiritual support?,irwaro nirija okutunga omusabi owabaho obusagiki bwebyomwoyo
The hospital has had a chaplain available for spiritual support?,irwaro ligera omusabi owabaho obusagiki bwebyomwoyo
The water pollution affects the health of local communities.,okutokora amizi kutalibaniza obwomezi obwabantu bahansi
The water pollution affected the health of local communities.,okutokora kwamaizi kutalibaniza obwomezi obwabantu bahansi
The water pollution will affect the health of local communities.,okutokora kwamaizi nikwija okutalibaniza obwomezi bwabantu
The community developed an ecotourism project to generate income and protect nature.,abantu bakatandikaho okulinda ebyobuhangwa okutungamu akasente kandi nokulinda obuhangwa
The community will develop an ecotourism project to generate income and protect nature.,abantu nibaija okutandikaho okulinda ebyobuhangwa okutungamu akasent kandi nokulinda obuhangwa
The community has developed an ecotourism project to generate income and protect nature.,abantu batandikireho okulinda eyobuhangwa okutungamu akasente kandi nokulinda obuhangwa
He invests in a family business.,asiga senteze omubizinesi zeka
He invested in a family business.,akasiga sente ze omubizinesi zeka
He will invest in a family business.,naija okusiga sente omubizinesi zeka
