english,lunyoro
three by three,basatu basatu
in threes,basatu basatu
four by four,bana bana
in fours,bana bana
five by five,bataano bataano
in fives,bataano bataano
the person who is going,anigenda
the person who is eating,anirya
the people who are going,abanigenda
the thing that is going,ekinigenda
the animal that is going,enigenda
I alone went to the market.,Nyenka nagenda omu isoko.
They all came.,Boona bajayo.
Both of us are going.,Twembi tugenda.
She herself cooked the food.,Weenyini yateka ebyokurya.
We ourselves built the house.,Tweenyini twabaka enju.
You alone know the answer.,Wenka omanye okusubiza.
This person is my friend.,Omuntu onu ni mukwangu.
That person over there is a teacher.,Omuntu oli ni omwigisha.
Those people are coming.,Abantu bali bajayo.
This thing is good.,Ekintu kinu kirungi.
It is a person.,N'omuntu.
It is a cow.,N'ente.
It is water.,N'amazzi.
I am a teacher.,Niinyowe omwigisha.
You are a student.,Niiwe omwigishwa.
He is a farmer.,Nuwe omulimi.
We are people.,Niitwe abantu.
They are children.,Nubo abaana.
Let us go.,Ka tugende.
Let me eat.,Ka nrye.
Let him speak.,Ka agambe.
Let them dance.,Ka bazine.
Let us pray.,Ka tuseenge.
The very person I was looking for.,Ka muntu nkaba nkora.
It is really you.,Ka niiwe.
"Good morning, how did you sleep?",Oraire ota?
I am fine.,Ndooho nti.
He said like this:,Agamba ati:
She said to them:,Yabagambira ati:
Here I am.,Daranyowe.
Here he is.,Darawe.
Here they are.,Darabo.
Here is the tree.,Daragwo.
My father is a good man.,Isange ni muntu murungi.
His grandfather told a story.,Isenkuru yagamba engero.
Our grandmother is wise.,Nyinenkurwitwe ni omukugu.
Their father came home.,Isabo yajayo omu rugo.
The cultivator works hard.,Omulimi akora nkakiiko.
Farming is important.,Omulimo gwa kulima gurikurungi.
The carpenter made a chair.,Omubazi yakora entebe.
The player danced well.,Omuzaani yazina kirungi.
Give me half.,Mpere kimu kya kabiri.
He ate a quarter.,Yarya kimu kya kana.
Two thirds of the people came.,Bibiri bya kasatu by'abantu bajayo.
They came two by two.,Bajayo babiri babiri.
The children sat three by three.,Abaana baicara basatu basatu.
The person who is going is my friend.,Omuntu anigenda ni mukwangu.
The people who came are teachers.,Abantu ababajayo ni abawigisha.
Both of them are my friends.,Bombi ni bakwangu.
All of you are welcome.,Mweena mwakiriwe.
Let us all go together.,Ka tugende tweena hamwe.
Here is the person you were looking for.,Daroonu omuntu owakaba okora.
It is really my father.,Ka isange.
My father alone knows.,Isange wenka omanye.
